post_id,server_title,slug,status,url,preporucena_odluka,best_source_candidate,best_score,urednicka_napomena,sljedeci_korak
2227,Svinjska rolanka,hr-cjp-rol-001,draft,https://drycured.com/?post_type=dry_recipe&p=2227,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Baranjska salama,0.562,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
2228,Domaća slanina / panceta,hr-cjp-pan-001,draft,https://drycured.com/?post_type=dry_recipe&p=2228,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Domaće slaninske kobasice,0.638,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
2229,Suha vratina,hr-cjp-vra-001,draft,https://drycured.com/?post_type=dry_recipe&p=2229,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Kulen Baranjac,0.462,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
2230,Suhi kare / pečenica,hr-cjp-kar-001,draft,https://drycured.com/?post_type=dry_recipe&p=2230,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Alpske pečenice,0.667,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
2231,Suha rebra,hr-cjp-reb-001,draft,https://drycured.com/?post_type=dry_recipe&p=2231,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Kulinova seka,0.435,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
2232,Suhe koljenice,hr-cjp-kol-001,draft,https://drycured.com/?post_type=dry_recipe&p=2232,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Ljute kobasice,0.571,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
2233,Suhe nogice i rep,hr-cjp-nor-001,draft,https://drycured.com/?post_type=dry_recipe&p=2233,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Ljute kobasice,0.452,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
2275,Sinjski Sudžuk,hr-rec-041,draft,https://drycured.com/?post_type=dry_recipe&p=2275,POTENCIJALNO_POSTOJI_U_IZVORU_POD_DRUGIM_NAZIVOM,Sirijski sudžuk,0.897,Visoka sličnost naziva; ručno provjeriti prije označavanja kao novi ili nepokriven recept.,za public verified otvoriti pojedinačni dosje
2292,Međimurske Crne Čurke,hr-rec-058,draft,https://drycured.com/?post_type=dry_recipe&p=2292,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Samoborske češnjovke,0.488,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
2294,Domaće Tlačenice,hr-rec-060,draft,https://drycured.com/?post_type=dry_recipe&p=2294,POTENCIJALNO_POSTOJI_U_IZVORU_POD_DRUGIM_NAZIVOM,Domaće pečenice,0.839,Visoka sličnost naziva; ručno provjeriti prije označavanja kao novi ili nepokriven recept.,za public verified otvoriti pojedinačni dosje
2464,StarohrvatskiMore-Kopno Salamet (Salama Maritima),starohrvatskimore-kopno-salamet-salama-maritima,publish,https://drycured.com/recepti-baza/starohrvatskimore-kopno-salamet-salama-maritima/,SUMNJIVI_GENERIRANI_NAZIV_TREBA_JAK_IZVOR,Starogradske kobasice,0.577,Naziv izgleda urednički ili generirano; ne uređivati javno bez zasebnog izvora.,za public verified otvoriti pojedinačni dosje
2551,Senj Začinski Vrat (Specifični nasoljavani vrat),senj-zacinski-vrat-specificni-nasoljavani-vrat,private,https://drycured.com/?post_type=dry_recipe&p=2551,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Začinske kobasice,0.457,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
2602,Đakovački Specijalni Fermentirani Vrat,dakovacki-specijalni-fermentirani-vrat,draft,https://drycured.com/?post_type=dry_recipe&p=2602,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Đakovački kulen,0.491,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
2633,Senjska Šunka,senjska-sunka,publish,https://drycured.com/recepti-baza/senjska-sunka/,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Primorska šunka,0.643,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
2695,Slavonsko-Brodski Ljuti Čvarci,slavonsko-brodski-ljuti-cvarci,publish,https://drycured.com/recepti-baza/slavonsko-brodski-ljuti-cvarci/,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Slavonske kobasice,0.542,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
2697,Baranjska Ljuta Slavonska Kobasica,baranjska-ljuta-slavonska-kobasica,publish,https://drycured.com/recepti-baza/baranjska-ljuta-slavonska-kobasica/,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Baranjska kobasica,0.692,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
2698,Slavonska Domaća Suhomesnata Salama,slavonska-domaca-suhomesnata-salama,publish,https://drycured.com/recepti-baza/slavonska-domaca-suhomesnata-salama/,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Domaća salama,0.542,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
2699,Baranjska Fermenetirana Kobasica,baranjska-fermenetirana-kobasica,publish,https://drycured.com/recepti-baza/baranjska-fermenetirana-kobasica/,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Baranjska kobasica,0.720,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
2702,Baranjski Začinski Špek s Pustara Začinima,baranjski-zacinski-spek-s-pustara-zacinima,publish,https://drycured.com/recepti-baza/baranjski-zacinski-spek-s-pustara-zacinima/,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Baranjska salama,0.517,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
2704,Osječko-Baranjski Ljuti Špek s Divljim Travama,osjecko-baranjski-ljuti-spek-s-divljim-travama,publish,https://drycured.com/recepti-baza/osjecko-baranjski-ljuti-spek-s-divljim-travama/,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Baranjska salama,0.452,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
2706,Tradicijski Baranjski Specijalni Fermentirani Špek,tradicijski-baranjski-specijalni-fermentirani-spek,private,https://drycured.com/?post_type=dry_recipe&p=2706,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Baranjska salama,0.424,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
2779,Slavonski cviček (suhomesnati narez),slavonski-cvicek-suhomesnati-narez,publish,https://drycured.com/recepti-baza/slavonski-cvicek-suhomesnati-narez/,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Slavonske kobasice,0.706,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
2780,Slavonski pikantni vrat,slavonski-pikantni-vrat,publish,https://drycured.com/recepti-baza/slavonski-pikantni-vrat/,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Gurmanska pašteta,0.450,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
2781,Esencijalni slavonski sušeni vrat s divljim začinima,esencijalni-slavonski-suseni-vrat-s-divljim-zacinima,publish,https://drycured.com/recepti-baza/esencijalni-slavonski-suseni-vrat-s-divljim-zacinima/,SUMNJIVI_GENERIRANI_NAZIV_TREBA_JAK_IZVOR,Teleća ili svinjska jetrena pašteta,0.437,Naziv izgleda urednički ili generirano; ne uređivati javno bez zasebnog izvora.,za public verified otvoriti pojedinačni dosje
2972,Slavonski kulen (PDO EU),hr-sl-001-slavonski-kulen-pdo-eu,publish,https://drycured.com/recepti-baza/hr-sl-001-slavonski-kulen-pdo-eu/,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Slavonske kobasice,0.667,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
2973,Kulenova seka,hr-sl-002-kulenova-seka,publish,https://drycured.com/recepti-baza/hr-sl-002-kulenova-seka/,POTENCIJALNO_POSTOJI_U_IZVORU_POD_DRUGIM_NAZIVOM,Kulinova seka,0.923,Visoka sličnost naziva; ručno provjeriti prije označavanja kao novi ili nepokriven recept.,za public verified otvoriti pojedinačni dosje
2974,Baranjski kulen (ZOZP EU),hr-sl-003-baranjski-kulen-zozp-eu,publish,https://drycured.com/recepti-baza/hr-sl-003-baranjski-kulen-zozp-eu/,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Đakovački kulen,0.667,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
2976,Slavonska domaća kobasica,hr-sl-005-slavonska-domaca-kobasica,publish,https://drycured.com/recepti-baza/hr-sl-005-slavonska-domaca-kobasica/,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Slavonske kobasice,0.744,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
2977,Srijemska kobasica (OGP),hr-sl-006-srijemska-kobasica-ogp,publish,https://drycured.com/recepti-baza/hr-sl-006-srijemska-kobasica-ogp/,POTENCIJALNO_POSTOJI_U_IZVORU_POD_DRUGIM_NAZIVOM,Srijemske kobasice,0.889,Visoka sličnost naziva; ručno provjeriti prije označavanja kao novi ili nepokriven recept.,za public verified otvoriti pojedinačni dosje
2981,Slavonska kobasica (ZOI EU 2023),hr-sl-010-slavonska-kobasica-zoi-eu-2023,publish,https://drycured.com/recepti-baza/hr-sl-010-slavonska-kobasica-zoi-eu-2023/,POTENCIJALNO_POSTOJI_U_IZVORU_POD_DRUGIM_NAZIVOM,Slavonske kobasice,0.889,Visoka sličnost naziva; ručno provjeriti prije označavanja kao novi ili nepokriven recept.,za public verified otvoriti pojedinačni dosje
2982,Slavonska dimljena slanina,hr-sl-012-slavonska-dimljena-slanina,private,https://drycured.com/?post_type=dry_recipe&p=2982,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Slavonske kobasice,0.500,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
2983,Slavonska dimljena šunka,hr-sl-014-slavonska-dimljena-sunka,private,https://drycured.com/?post_type=dry_recipe&p=2983,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Slavonske kobasice,0.524,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
2984,Suha plećka slavonska,hr-sl-015-suha-plecka-slavonska,private,https://drycured.com/?post_type=dry_recipe&p=2984,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Domaća salama,0.471,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
2985,Suha rebra slavonska,hr-sl-016-suha-rebra-slavonska,private,https://drycured.com/?post_type=dry_recipe&p=2985,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Slavonske kobasice,0.474,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
2986,Slavonska jetrena kobasica,hr-sl-017-slavonska-jetrena-kobasica,private,https://drycured.com/?post_type=dry_recipe&p=2986,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Slavonske kobasice,0.773,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
2987,Krvavica slavonska,hr-sl-018-krvavica-slavonska,private,https://drycured.com/?post_type=dry_recipe&p=2987,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Domaća salama,0.516,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
2988,Tlačenica slavonska (švargl),hr-sl-019-tlacenica-slavonska-svargl,private,https://drycured.com/?post_type=dry_recipe&p=2988,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Domaća salama,0.500,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
2989,Vinkovačka šunka — suho soljena varijanta,hr-sl-020-vinkovacka-sunka-suho-soljena-varijanta,private,https://drycured.com/?post_type=dry_recipe&p=2989,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Lovačka pašteta,0.407,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
2990,Slavonski lovački kulen (divljač + svinjetina),hr-sl-021-slavonski-lovacki-kulen-divljac-svinjetina,private,https://drycured.com/?post_type=dry_recipe&p=2990,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Đakovački kulen,0.737,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
2991,"Konjska salama Ploštine (talijanska manjina, Pakrac)",hr-sl-022-konjska-salama-plostine-talijanska-manjina-pakrac,private,https://drycured.com/?post_type=dry_recipe&p=2991,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Baranjska salama,0.615,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
2992,Slavonski dimljeni svinjski vrat,hr-sl-024-slavonski-dimljeni-svinjski-vrat,private,https://drycured.com/?post_type=dry_recipe&p=2992,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Teleća ili svinjska jetrena pašteta,0.507,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
2993,Slavonski suhi vrat (ovratina),hr-sl-027-slavonski-suhi-vrat-ovratina,private,https://drycured.com/?post_type=dry_recipe&p=2993,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Slavonske kobasice,0.486,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
2994,Baranjska šunka,hr-sl-028-baranjska-sunka,private,https://drycured.com/?post_type=dry_recipe&p=2994,POTENCIJALNO_POSTOJI_U_IZVORU_POD_DRUGIM_NAZIVOM,Domaća baranjska šunka,0.811,Visoka sličnost naziva; ručno provjeriti prije označavanja kao novi ili nepokriven recept.,za public verified otvoriti pojedinačni dosje
2995,Đakovačka šunka,hr-sl-029-dakovacka-sunka,private,https://drycured.com/?post_type=dry_recipe&p=2995,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Đakovački kulen,0.733,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
2996,Brodska kobasica (Slavonski Brod),hr-sl-030-brodska-kobasica-slavonski-brod,publish,https://drycured.com/recepti-baza/hr-sl-030-brodska-kobasica-slavonski-brod/,POTENCIJALNO_POSTOJI_U_IZVORU_POD_DRUGIM_NAZIVOM,Baranjska kobasica,0.824,Visoka sličnost naziva; ručno provjeriti prije označavanja kao novi ili nepokriven recept.,za public verified otvoriti pojedinačni dosje
2997,Osječka kobasica,hr-sl-031-osjecka-kobasica,publish,https://drycured.com/recepti-baza/hr-sl-031-osjecka-kobasica/,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Seljačke kobasice,0.727,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
2998,Slavonska krvavica od prosa (bijela),hr-sl-032-slavonska-krvavica-od-prosa-bijela,private,https://drycured.com/?post_type=dry_recipe&p=2998,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Slavonske kobasice,0.578,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
2999,Slavonska šunka od crne slavonske svinje,hr-sl-033-slavonska-sunka-od-crne-slavonske-svinje,private,https://drycured.com/?post_type=dry_recipe&p=2999,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Domaće slaninske kobasice,0.462,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
3000,Slavonska domaća salama,hr-sl-034-slavonska-domaca-salama,publish,https://drycured.com/recepti-baza/hr-sl-034-slavonska-domaca-salama/,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Domaća salama,0.722,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
3001,Slavonska čvarkovača (kobasica od čvaraka),hr-sl-036-slavonska-cvarkovaca-kobasica-od-cvaraka,publish,https://drycured.com/recepti-baza/hr-sl-036-slavonska-cvarkovaca-kobasica-od-cvaraka/,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Slavonske kobasice,0.684,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
3002,Vinkovačka kobasica,hr-sl-037-vinkovacka-kobasica,publish,https://drycured.com/recepti-baza/hr-sl-037-vinkovacka-kobasica/,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Đakovačke kobasice,0.757,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
3003,Slavonska lovačka kobasica (divljač + svinjetina),hr-sl-038-slavonska-lovacka-kobasica-divljac-svinjetina,publish,https://drycured.com/recepti-baza/hr-sl-038-slavonska-lovacka-kobasica-divljac-svinjetina/,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Slavonske kobasice,0.727,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
3005,Cvelferija kulen — varijanta bez slanine,hr-sl-003,private,https://drycured.com/?post_type=dry_recipe&p=3005,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Kulen Baranjac,0.385,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
3006,Vinkovačka šunka,hr-sl-022,private,https://drycured.com/?post_type=dry_recipe&p=3006,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Primorska šunka,0.645,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
3007,Samoborska salama (županijska robna marka),hr-sl-025,private,https://drycured.com/?post_type=dry_recipe&p=3007,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Baranjska salama,0.727,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
3008,Dalmatinska suha šunka,hr-sl-034,private,https://drycured.com/?post_type=dry_recipe&p=3008,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Domaća baranjska šunka,0.591,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
3009,Dalmatinska suha kobasica,hr-sl-038,private,https://drycured.com/?post_type=dry_recipe&p=3009,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Baranjska kobasica,0.698,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
3010,Hvarska prstena kobasica,hr-sl-039,private,https://drycured.com/?post_type=dry_recipe&p=3010,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Baranjska kobasica,0.667,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
3011,Sinjaška kobasica (Cetinska krajina),hr-sl-040,private,https://drycured.com/?post_type=dry_recipe&p=3011,POTENCIJALNO_POSTOJI_U_IZVORU_POD_DRUGIM_NAZIVOM,Sinjske kobasice,0.848,Visoka sličnost naziva; ručno provjeriti prije označavanja kao novi ili nepokriven recept.,za public verified otvoriti pojedinačni dosje
3012,Dalmatinska dimljena slanina,hr-sl-043,private,https://drycured.com/?post_type=dry_recipe&p=3012,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Baranjska salama,0.500,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
3013,Istarska špaleta (suha plećka),hr-sl-067,private,https://drycured.com/?post_type=dry_recipe&p=3013,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Baranjska salama,0.625,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
3014,Zagorska dimljena šunka,hr-sl-083,private,https://drycured.com/?post_type=dry_recipe&p=3014,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Primorska šunka,0.579,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
3015,Međimurska šunka,hr-sl-084,private,https://drycured.com/?post_type=dry_recipe&p=3015,TREBA_IZVOR_PRIJE_PUBLIC_VERIFIED,Primorska šunka,0.774,"Postoji na serveru, ali u ovom izvorno očišćenom HR popisu nije potvrđen.",za public verified otvoriti pojedinačni dosje
