"id","title","slug","status","url","categories","content_type","intent","phase","product","level","words","h2","internal_links","external_links","has_problem_solution","featured_image_id","featured_image_url","featured_image_alt","featured_image_width","featured_image_height","featured_image_ratio","seo_title","seo_description","priority","issues"
"1470","Slavonski kulen: tradicija, tehnologija i zrenje","slavonski-domaci-kulen-ponos-hrvatske-tradicije","publish","https://drycured.com/2026/03/28/slavonski-domaci-kulen-ponos-hrvatske-tradicije/","Enciklopedija znanja","product_article","process","drying_maturation","kulen","intermediate","948","9","6","0","0","3248","https://drycured.com/wp-content/uploads/2026/03/kulen.png","Tradicionalni slavonski kulen s odrezanim kriškama","1536","1024","1.5","1","1","CONTENT_QA","words under 1100; missing problem-solution"
"1472","Domaći čvarci: kako nastaju hrskavi, suhi i zlatnosmeđi","domaci-cvarci-iz-slavonije","publish","https://drycured.com/2026/03/28/domaci-cvarci-iz-slavonije/","Enciklopedija znanja","practical_guide","process","preparation","lard_cracklings","beginner","710","8","3","0","0","3247","https://drycured.com/wp-content/uploads/2026/03/cvarci.png","Domaći čvarci u zdjeli na drvenoj podlozi","1536","1024","1.5","1","1","CONTENT_QA","words under 1100; H2 under 9; internal links under 5; missing problem-solution"
"1480","Domaća kobasica: tradicija, postupak i siguran početnički redoslijed","domaca-kobasica-tradicija-na-vasem-stolu","publish","https://drycured.com/2026/03/28/domaca-kobasica-tradicija-na-vasem-stolu/","Enciklopedija znanja","practical_guide","process","stuffing","sausages_salami","beginner","1294","19","17","0","1","1481","https://drycured.com/wp-content/uploads/2026/03/swab_upload_8b1cac035900.png","","1536","1024","1.5","1","1","OK","missing image alt"
"1632","Kalkulator i digitalni alati: kako recept pretvoriti u sigurnu šaržu","kalkulator-novosti-v3","publish","https://drycured.com/2026/05/05/kalkulator-novosti-v3/","Enciklopedija znanja","news_system","tools","general_process","general_multiple_products","beginner","1273","20","8","0","1","0","","","0","0","","1","1","IMAGE","missing featured image"
"2125","Kako prepoznati dobro meso za suhomesnate proizvode","kako-prepoznati-dobro-meso-za-suhomesnate-proizvode","publish","https://drycured.com/2024/01/19/kako-prepoznati-dobro-meso-za-suhomesnate-proizvode/","Enciklopedija znanja","practical_guide","Array","Array","Array","beginner","436","4","0","0","0","0","","","0","0","","1","1","IMAGE+CONTENT_QA","missing featured image; words under 1100; H2 under 9; internal links under 5; missing problem-solution"
"2126","Sol u suhomesnatim proizvodima: čuvar sigurnosti, okusa i strukture","sol-najstariji-cuvar-mesa","publish","https://drycured.com/2024/01/20/sol-najstariji-cuvar-mesa/","Enciklopedija znanja","scientific_explanation","basics","salting","general_multiple_products","beginner","546","6","3","0","0","0","","","0","0","","1","1","IMAGE+CONTENT_QA","missing featured image; words under 1100; H2 under 9; internal links under 5; missing problem-solution"
"2127","Suho, mokro i kombinirano soljenje: kako odabrati pravi postupak","suho-mokro-i-kombinirano-soljenje-kada-koristiti-koju-metodu","publish","https://drycured.com/2024/01/18/suho-mokro-i-kombinirano-soljenje-kada-koristiti-koju-metodu/","Enciklopedija znanja","practical_guide","process","salting","general_multiple_products","beginner","542","7","3","0","0","0","","","0","0","","1","1","IMAGE+CONTENT_QA","missing featured image; words under 1100; H2 under 9; internal links under 5; missing problem-solution"
"2128","Redoslijed izrade suhomesnatih proizvoda: zašto se faze ne smiju preskakati","redoslijed-izrade-suhomesnatih-proizvoda-bez-preskakanja-faza","publish","https://drycured.com/2024/01/17/redoslijed-izrade-suhomesnatih-proizvoda-bez-preskakanja-faza/","Enciklopedija znanja","practical_guide","process","general_process","general_multiple_products","beginner","1269","18","16","0","1","0","","","0","0","","1","1","IMAGE","missing featured image"
"2129","Kako sol putuje kroz meso: difuzija bez nagađanja","kako-sol-putuje-kroz-meso","publish","https://drycured.com/2024/01/16/kako-sol-putuje-kroz-meso/","Enciklopedija znanja","scientific_explanation","understanding","salting","general_multiple_products","intermediate","487","6","3","0","0","0","","","0","0","","1","1","IMAGE+CONTENT_QA","missing featured image; words under 1100; H2 under 9; internal links under 5; missing problem-solution"
"2130","Priprema i namakanje crijeva prije punjenja: mali korak koji čuva šaržu","priprema-i-namakanje-crijeva-prije-punjenja","publish","https://drycured.com/2024/01/15/priprema-i-namakanje-crijeva-prije-punjenja/","Enciklopedija znanja","practical_guide","process","stuffing","sausages_salami","beginner","1256","19","8","0","1","0","","","0","0","","1","1","IMAGE","missing featured image"
"2131","Tekućina od češnjaka: čista aroma bez zelenih mrlja u presjeku","tekucina-od-cesnjaka-cista-aroma-bez-zelenih-mrlja-u-presjeku","publish","https://drycured.com/2024/01/14/tekucina-od-cesnjaka-cista-aroma-bez-zelenih-mrlja-u-presjeku/","Enciklopedija znanja","practical_guide","process","preparation","sausages_salami","beginner","1285","17","5","0","1","0","","","0","0","","1","1","IMAGE","missing featured image"
"2132","Fermentacija kobasica u kućnim uvjetima: kontrolirani početak sigurnog zrenja","fermentacija-kobasica-u-kucnim-uvjetima","publish","https://drycured.com/2024/01/13/fermentacija-kobasica-u-kucnim-uvjetima/","Enciklopedija znanja","practical_guide","process","fermentation","sausages_salami","intermediate","610","8","3","0","0","0","","","0","0","","1","1","IMAGE+CONTENT_QA","missing featured image; words under 1100; H2 under 9; internal links under 5; missing problem-solution"
"2133","Case-hardening: tvrda kora, mekana sredina i kako zaustaviti problem","case-hardening-tvrda-kora-i-mekana-sredina","publish","https://drycured.com/2024/01/12/case-hardening-tvrda-kora-i-mekana-sredina/","Enciklopedija znanja","troubleshooting","problems","drying_maturation","general_multiple_products","intermediate","783","11","4","0","0","0","","","0","0","","1","1","IMAGE+CONTENT_QA","missing featured image; words under 1100; internal links under 5; missing problem-solution"
"2134","Hladno, toplo i vruće dimljenje: tri postupka koja ne treba miješati","hladno-toplo-i-vruce-dimljenje-sto-nije-isto","publish","https://drycured.com/2024/01/11/hladno-toplo-i-vruce-dimljenje-sto-nije-isto/","Enciklopedija znanja","practical_guide","process","smoking","general_multiple_products","beginner","804","10","3","2","0","0","","","0","0","","1","1","IMAGE+CONTENT_QA","missing featured image; words under 1100; internal links under 5; missing problem-solution"
"2135","Drvo za dimljenje suhomesnatih proizvoda: kako dobiti čist i blag dim","koje-drvo-koristiti-za-dimljenje-suhomesnatih-proizvoda","publish","https://drycured.com/2024/01/07/koje-drvo-koristiti-za-dimljenje-suhomesnatih-proizvoda/","Enciklopedija znanja","practical_guide","equipment","smoking","general_multiple_products","beginner","791","10","3","1","0","0","","","0","0","","1","1","IMAGE+CONTENT_QA","missing featured image; words under 1100; internal links under 5; missing problem-solution"
"2136","Zašto se kobasica ne smije sušiti prebrzo: tvrda kora nije znak gotovosti","zasto-se-kobasica-ne-smije-susiti-prebrzo","publish","https://drycured.com/2024/01/10/zasto-se-kobasica-ne-smije-susiti-prebrzo/","Enciklopedija znanja","troubleshooting","problems","drying_maturation","sausages_salami","beginner","710","9","4","0","0","0","","","0","0","","1","1","IMAGE+CONTENT_QA","missing featured image; words under 1100; internal links under 5; missing problem-solution"
"2137","Kako pratiti gubitak mase tijekom sušenja: vaga kao najjednostavniji instrument","kako-pratiti-gubitak-mase-tijekom-susenja","publish","https://drycured.com/2024/01/09/kako-pratiti-gubitak-mase-tijekom-susenja/","Enciklopedija znanja","practical_guide","process","drying_maturation","general_multiple_products","beginner","752","10","3","1","0","0","","","0","0","","1","1","IMAGE+CONTENT_QA","missing featured image; words under 1100; internal links under 5; missing problem-solution"
"2138","Plemenita plijesan: kada je bijeli štit, a kada ozbiljno upozorenje","plemenita-plijesan-bijeli-stit-ili-upozorenje","publish","https://drycured.com/2024/01/08/plemenita-plijesan-bijeli-stit-ili-upozorenje/","Enciklopedija znanja","troubleshooting","problems","drying_maturation","general_multiple_products","intermediate","741","11","5","0","0","0","","","0","0","","1","1","IMAGE+CONTENT_QA","missing featured image; words under 1100; missing problem-solution"
"2139","Temperatura, vlaga i zrak: tri stupa dobrog sušenja i zrenja","temperatura-vlaga-i-zrak-tri-stupa-zrenja","publish","https://drycured.com/2024/01/06/temperatura-vlaga-i-zrak-tri-stupa-zrenja/","Enciklopedija znanja","scientific_explanation","understanding","drying_maturation","general_multiple_products","intermediate","712","9","4","0","0","0","","","0","0","","1","1","IMAGE+CONTENT_QA","missing featured image; words under 1100; internal links under 5; missing problem-solution"
"2140","Punjenje kobasica bez zračnih džepova: pritisak, omotač i miran rad","punjenje-kobasica-bez-zracnih-dzepova","publish","https://drycured.com/2024/01/05/punjenje-kobasica-bez-zracnih-dzepova/","Enciklopedija znanja","practical_guide","process","stuffing","sausages_salami","beginner","1120","18","7","0","1","0","","","0","0","","1","1","IMAGE","missing featured image"
"2141","Najčešće greške kod kobasica: uzroci, znakovi i konkretna rješenja","najcesce-greske-kod-kobasica-i-kako-ih-ispraviti","publish","https://drycured.com/2024/01/04/najcesce-greske-kod-kobasica-i-kako-ih-ispraviti/","Enciklopedija znanja","troubleshooting","problems","general_process","sausages_salami","beginner","725","10","5","0","0","0","","","0","0","","1","1","IMAGE+CONTENT_QA","missing featured image; words under 1100; missing problem-solution"
"2142","Dnevnik šarže: najjeftiniji alat za učenje i ponavljanje dobre proizvodnje","dnevnik-sarze-najjeftiniji-alat-za-ucenje","publish","https://drycured.com/2024/01/03/dnevnik-sarze-najjeftiniji-alat-za-ucenje/","Enciklopedija znanja","practical_guide","process","general_process","general_multiple_products","beginner","1283","19","12","0","1","0","","","0","0","","1","1","IMAGE","missing featured image"
"2143","Zašto svi recepti na drycured.com kreću od 10 kg mesa","zasto-svi-recepti-na-drycured-com-krecu-od-10-kg-mesa","publish","https://drycured.com/2024/01/02/zasto-svi-recepti-na-drycured-com-krecu-od-10-kg-mesa/","Enciklopedija znanja","standards","basics","general_process","general_multiple_products","beginner","1321","19","6","0","1","0","","","0","0","","1","1","IMAGE","missing featured image"
"2144","Sigurnost hrane kod suhomesnatih proizvoda: bez panike, ali bez improvizacije","sigurnost-hrane-kod-suhomesnatih-proizvoda-bez-panike","publish","https://drycured.com/2024/01/01/sigurnost-hrane-kod-suhomesnatih-proizvoda-bez-panike/","Enciklopedija znanja","practical_guide","safety","general_process","general_multiple_products","beginner","568","8","3","0","0","0","","","0","0","","1","1","IMAGE+CONTENT_QA","missing featured image; words under 1100; H2 under 9; internal links under 5; missing problem-solution"
"2829","Zašto suhomesnati proizvod nije samo recept","zasto-suhomesnati-proizvod-nije-samo-recept","publish","https://drycured.com/2024/01/21/zasto-suhomesnati-proizvod-nije-samo-recept/","Enciklopedija znanja","general_article","understanding","general_process","general_multiple_products","beginner","1210","18","7","0","1","0","","","0","0","","1","1","IMAGE","missing featured image"
"2830","Povijest sušenja mesa: kako su sol, dim i vrijeme čuvali hranu","povijest-susenja-mesa-sol-dim-vrijeme","publish","https://drycured.com/2024/01/22/povijest-susenja-mesa-sol-dim-vrijeme/","Enciklopedija znanja","tradition_culture","tradition","general_process","general_multiple_products","beginner","1189","18","8","0","1","0","","","0","0","","1","1","IMAGE","missing featured image"
"2831","Pasmina, prehrana i mast: zašto sirovina odlučuje o okusu","pasmina-prehrana-i-mast-zasto-sirovina-odlucuje-o-okusu","publish","https://drycured.com/2024/01/23/pasmina-prehrana-i-mast-zasto-sirovina-odlucuje-o-okusu/","Enciklopedija znanja","scientific_explanation","Array","Array","Array","advanced","320","6","0","0","0","0","","","0","0","","0","0","IMAGE+SEO+CONTENT_QA","missing featured image; missing SEO title; missing SEO description; words under 1100; H2 under 9; internal links under 5; missing problem-solution"
"2832","Mast u suhomesnatim proizvodima: neprijatelj ili nositelj okusa","mast-u-suhomesnatim-proizvodima-nositelj-okusa","publish","https://drycured.com/2024/01/24/mast-u-suhomesnatim-proizvodima-nositelj-okusa/","Enciklopedija znanja","product_article","Array","Array","Array","intermediate","308","6","0","0","0","0","","","0","0","","0","0","IMAGE+SEO+CONTENT_QA","missing featured image; missing SEO title; missing SEO description; words under 1100; H2 under 9; internal links under 5; missing problem-solution"
"2833","PSE i DFD meso: kako loša sirovina pokvari dobar postupak","pse-i-dfd-meso-kako-losa-sirovina-pokvari-dobar-postupak","publish","https://drycured.com/2024/01/25/pse-i-dfd-meso-kako-losa-sirovina-pokvari-dobar-postupak/","Enciklopedija znanja","scientific_explanation","Array","Array","Array","advanced","321","6","0","0","0","0","","","0","0","","0","0","IMAGE+SEO+CONTENT_QA","missing featured image; missing SEO title; missing SEO description; words under 1100; H2 under 9; internal links under 5; missing problem-solution"
"2834","Oprema za kućnu proizvodnju: što početniku stvarno treba, a što može čekati","oprema-za-kucnu-proizvodnju-sto-treba-pocetniku","publish","https://drycured.com/2024/01/26/oprema-za-kucnu-proizvodnju-sto-treba-pocetniku/","Enciklopedija znanja","practical_guide","equipment","preparation","general_multiple_products","beginner","1300","17","8","0","1","0","","","0","0","","1","1","IMAGE","missing featured image"
"2835","Mljevenje mesa za kobasice: rešetka, temperatura i čist presjek","mljevenje-mesa-za-kobasice-resetka-u-milimetrima","publish","https://drycured.com/2024/01/27/mljevenje-mesa-za-kobasice-resetka-u-milimetrima/","Enciklopedija znanja","practical_guide","process","preparation","sausages_salami","beginner","1115","16","5","0","1","0","","","0","0","","1","1","IMAGE","missing featured image"
"2836","Temperatura nadjeva: mala brojka koja čuva strukturu kobasice","temperatura-nadjeva-cuva-strukturu-kobasice","publish","https://drycured.com/2024/01/28/temperatura-nadjeva-cuva-strukturu-kobasice/","Enciklopedija znanja","scientific_explanation","process","preparation","sausages_salami","beginner","1136","17","7","0","1","0","","","0","0","","1","1","IMAGE","missing featured image"
"2837","Panceta: ravnoteža mesa, masti, soli i vremena","panceta-zasto-trbuh-trazi-strpljenje-i-ravnotezu","publish","https://drycured.com/2024/01/29/panceta-zasto-trbuh-trazi-strpljenje-i-ravnotezu/","Enciklopedija znanja","product_article","process","drying_maturation","pancetta_bacon","intermediate","810","9","6","0","0","3246","https://drycured.com/wp-content/uploads/2026/03/panceta.png","Domaća panceta s odrezanim kriškama","1536","1024","1.5","1","1","CONTENT_QA","words under 1100; missing problem-solution"
"2838","Slanina i mast: zaboravljeni temelji domaće prerade","slanina-i-mast-zaboravljeni-temelji-domace-prerade","publish","https://drycured.com/2024/01/30/slanina-i-mast-zaboravljeni-temelji-domace-prerade/","Enciklopedija znanja","product_article","understanding","raw_material","pancetta_bacon","beginner","1214","19","7","0","1","0","","","0","0","","1","1","IMAGE","missing featured image"
"2839","Pršut: dugi proces u kojem nema prečaca","prsut-dugi-proces-u-kojem-nema-precaca","publish","https://drycured.com/2024/01/31/prsut-dugi-proces-u-kojem-nema-precaca/","Enciklopedija znanja","product_article","process","drying_maturation","ham_prosciutto","advanced","1256","20","8","0","1","0","","","0","0","","1","1","IMAGE","missing featured image"
"2840","Buđola i vratina: ravnoteža mišića, masnoće, soli i vremena","budola-i-vratina-masnoca-i-misic","publish","https://drycured.com/2024/02/01/budola-i-vratina-masnoca-i-misic/","Enciklopedija znanja","product_article","process","drying_maturation","whole_cuts","intermediate","1322","20","8","0","1","0","","","0","0","","1","1","IMAGE","missing featured image"
"2841","Pakiranje suhomesnatih proizvoda: kada vakuum pomaže, a kada smeta","pakiranje-suhomesnatih-proizvoda-kada-vakuum-pomaze","publish","https://drycured.com/2024/02/02/pakiranje-suhomesnatih-proizvoda-kada-vakuum-pomaze/","Enciklopedija znanja","practical_guide","process","storage_packaging","general_multiple_products","intermediate","1237","20","7","0","1","0","","","0","0","","1","1","IMAGE","missing featured image"
"2842","Čuvanje nakon zrenja: kako ne pokvariti dobar suhomesnati proizvod na kraju","cuvanje-nakon-zrenja-kako-ne-pokvariti-dobar-proizvod","publish","https://drycured.com/2024/02/03/cuvanje-nakon-zrenja-kako-ne-pokvariti-dobar-proizvod/","Enciklopedija znanja","practical_guide","process","storage_packaging","general_multiple_products","beginner","749","11","5","0","0","0","","","0","0","","1","1","IMAGE+CONTENT_QA","missing featured image; words under 1100; missing problem-solution"
"2843","Kada suhomesnati proizvod treba odbaciti: jasna granica sigurnosti","kada-proizvod-treba-odbaciti-rizik-i-sigurnost","publish","https://drycured.com/2024/02/04/kada-proizvod-treba-odbaciti-rizik-i-sigurnost/","Enciklopedija znanja","troubleshooting","problems","general_process","general_multiple_products","beginner","576","8","3","0","0","0","","","0","0","","1","1","IMAGE+CONTENT_QA","missing featured image; words under 1100; H2 under 9; internal links under 5; missing problem-solution"
"2844","Kolinje kao škola zanata: kako se znanje prenosilo generacijama","kolinje-kao-skola-zanata-kako-se-znanje-prenosilo","publish","https://drycured.com/2024/02/05/kolinje-kao-skola-zanata-kako-se-znanje-prenosilo/","Enciklopedija znanja","tradition_culture","tradition","general_process","general_multiple_products","beginner","1181","18","6","0","1","0","","","0","0","","1","1","IMAGE","missing featured image"
"2845","Mikroklima regije: zašto Dalmacija, Slavonija i Alpe ne daju isti okus","mikroklima-regije-dalmacija-slavonija-alpe","publish","https://drycured.com/2024/02/06/mikroklima-regije-dalmacija-slavonija-alpe/","Enciklopedija znanja","scientific_explanation","understanding","drying_maturation","general_multiple_products","intermediate","1258","19","8","0","1","0","","","0","0","","1","1","IMAGE","missing featured image"
"2846","PDO, PGI i TSG: što znače europske oznake izvornosti","pdo-pgi-tsg-europske-oznake-izvornosti","publish","https://drycured.com/2024/02/07/pdo-pgi-tsg-europske-oznake-izvornosti/","Enciklopedija znanja","standards","tradition","general_process","general_multiple_products","intermediate","1188","18","5","0","1","0","","","0","0","","1","1","IMAGE","missing featured image"
"2847","Od hobija do malog brenda: kako predstaviti domaći suhomesnati proizvod","od-hobija-do-malog-brenda-domaci-suhomesnati-proizvod","publish","https://drycured.com/2024/02/08/od-hobija-do-malog-brenda-domaci-suhomesnati-proizvod/","Enciklopedija znanja","business","business","storage_packaging","general_multiple_products","intermediate","1191","19","8","0","1","0","","","0","0","","1","1","IMAGE","missing featured image"
"2848","Digitalna pušnica: zašto bilješke, fotografije i podaci čuvaju tradiciju","digitalna-pusnica-biljeske-fotografije-podaci-cuvaju-tradiciju","publish","https://drycured.com/2024/02/09/digitalna-pusnica-biljeske-fotografije-podaci-cuvaju-tradiciju/","Enciklopedija znanja","practical_guide","equipment","smoking","general_multiple_products","intermediate","1222","19","7","0","1","0","","","0","0","","1","1","IMAGE","missing featured image"
"2849","Ekvilibrijsko soljenje: preciznost umjesto soljenja od oka","ekvilibrijsko-soljenje-kako-soliti-precizno","publish","https://drycured.com/2024/02/10/ekvilibrijsko-soljenje-kako-soliti-precizno/","Enciklopedija znanja","practical_guide","process","salting","general_multiple_products","intermediate","462","6","2","0","0","0","","","0","0","","1","1","IMAGE+CONTENT_QA","missing featured image; words under 1100; H2 under 9; internal links under 5; missing problem-solution"
"2850","Equalizacija nakon soljenja: faza odmora koja spašava presjek","equalizacija-nakon-soljenja-zasto-meso-mora-odmoriti","publish","https://drycured.com/2024/02/11/equalizacija-nakon-soljenja-zasto-meso-mora-odmoriti/","Enciklopedija znanja","practical_guide","process","salting","whole_cuts","intermediate","472","7","2","0","0","0","","","0","0","","1","1","IMAGE+CONTENT_QA","missing featured image; words under 1100; H2 under 9; internal links under 5; missing problem-solution"
"2851","Vodna aktivnost: zašto suh izgled nije dovoljan dokaz sigurnosti","vodna-aktivnost-zasto-sama-vlaga-nije-dovoljna","publish","https://drycured.com/2024/02/12/vodna-aktivnost-zasto-sama-vlaga-nije-dovoljna/","Enciklopedija znanja","scientific_explanation","understanding","drying_maturation","general_multiple_products","advanced","578","8","3","0","0","0","","","0","0","","1","1","IMAGE+CONTENT_QA","missing featured image; words under 1100; H2 under 9; internal links under 5; missing problem-solution"
"2852","Starter kulture: pomoć za fermentaciju, ali ne zamjena za higijenu","starter-kulture-kada-pomazu-a-kada-nisu-carobni-stapic","publish","https://drycured.com/2024/02/13/starter-kulture-kada-pomazu-a-kada-nisu-carobni-stapic/","Enciklopedija znanja","scientific_explanation","understanding","fermentation","sausages_salami","intermediate","599","8","3","0","0","0","","","0","0","","1","1","IMAGE+CONTENT_QA","missing featured image; words under 1100; H2 under 9; internal links under 5; missing problem-solution"
"2853","Rezanje mesa prema namjeni: zašto svaki komad ne ide u isti proizvod","rezanje-mesa-prema-namjeni","publish","https://drycured.com/2024/02/14/rezanje-mesa-prema-namjeni/","Enciklopedija znanja","practical_guide","Array","Array","Array","intermediate","366","7","0","0","0","0","","","0","0","","0","0","IMAGE+SEO+CONTENT_QA","missing featured image; missing SEO title; missing SEO description; words under 1100; H2 under 9; internal links under 5; missing problem-solution"
"2854","Senzorska kontrola: što miris, dodir i presjek otkrivaju prije instrumenta","senzorska-kontrola-nos-oko-ruka-prije-instrumenta","publish","https://drycured.com/2024/02/15/senzorska-kontrola-nos-oko-ruka-prije-instrumenta/","Enciklopedija znanja","practical_guide","safety","general_process","general_multiple_products","beginner","741","11","5","0","0","0","","","0","0","","1","1","IMAGE+CONTENT_QA","missing featured image; words under 1100; missing problem-solution"
"2855","Higijena prostora i alata: nevidljivi temelj sigurne šarže","higijena-prostora-i-alata-temelj-sigurne-sarze","publish","https://drycured.com/2024/02/16/higijena-prostora-i-alata-temelj-sigurne-sarze/","Enciklopedija znanja","practical_guide","safety","preparation","general_multiple_products","beginner","1267","19","11","0","1","0","","","0","0","","1","1","IMAGE","missing featured image"
"2856","Kako odabrati crijevo prema vrsti kobasice: promjer, priprema i punjenje","kako-odabrati-crijevo-prema-vrsti-kobasice","publish","https://drycured.com/2024/02/17/kako-odabrati-crijevo-prema-vrsti-kobasice/","Enciklopedija znanja","practical_guide","equipment","stuffing","sausages_salami","beginner","1190","18","6","0","1","0","","","0","0","","1","1","IMAGE","missing featured image"
"2857","Kućna sušionica: kako prepoznati dobar i loš prostor za zrenje","kucna-susionica-kako-prepoznati-dobar-i-los-prostor","publish","https://drycured.com/2024/02/18/kucna-susionica-kako-prepoznati-dobar-i-los-prostor/","Enciklopedija znanja","practical_guide","equipment","drying_maturation","general_multiple_products","beginner","1318","20","8","0","1","0","","","0","0","","1","1","IMAGE","missing featured image"
"2858","Miris, boja i presjek: kako čitati gotov suhomesnati proizvod","miris-boja-i-presjek-kako-citati-gotov-proizvod","publish","https://drycured.com/2024/02/19/miris-boja-i-presjek-kako-citati-gotov-proizvod/","Enciklopedija znanja","practical_guide","process","storage_packaging","general_multiple_products","beginner","1224","20","8","0","1","0","","","0","0","","1","1","IMAGE","missing featured image"
"3327","Prva probna šarža: zašto početnik ne treba odmah raditi veliku količinu","prva-probna-sarza-suhomesnati-proizvodi","publish","https://drycured.com/2026/06/06/prva-probna-sarza-suhomesnati-proizvodi/","Enciklopedija znanja","practical_guide","basics","general_process","general_multiple_products","beginner","1324","21","8","0","1","0","","","0","0","","1","1","IMAGE","missing featured image"
"3328","Radni dan za domaće kobasice: kako složiti posao bez kaosa","radni-dan-za-domace-kobasice","publish","https://drycured.com/2026/06/06/radni-dan-za-domace-kobasice/","Enciklopedija znanja","practical_guide","process","preparation","sausages_salami","beginner","1245","21","8","0","1","0","","","0","0","","1","1","IMAGE","missing featured image"
"3329","Kontrolna lista prije punjenja kobasica: što provjeriti prije nego nadjev uđe u crijevo","kontrolna-lista-prije-punjenja-kobasica","publish","https://drycured.com/2026/06/06/kontrolna-lista-prije-punjenja-kobasica/","Enciklopedija znanja","practical_guide","process","stuffing","sausages_salami","beginner","1250","21","8","0","1","0","","","0","0","","1","1","IMAGE","missing featured image"
"3330","Procjena prostora prije sušenja: kako znati je li prostor spreman za suhomesnate proizvode","procjena-prostora-prije-susenja","publish","https://drycured.com/2026/06/06/procjena-prostora-prije-susenja/","Enciklopedija znanja","practical_guide","process","drying_maturation","general_multiple_products","beginner","1245","21","7","0","1","0","","","0","0","","1","1","IMAGE","missing featured image"
"3331","Foto-dnevnik šarže: kako fotografije pomažu boljem suhomesnatom proizvodu","foto-dnevnik-sarze-suhomesnati-proizvodi","publish","https://drycured.com/2026/06/06/foto-dnevnik-sarze-suhomesnati-proizvodi/","Enciklopedija znanja","practical_guide","tools","general_process","general_multiple_products","beginner","1224","21","8","0","1","0","","","0","0","","1","1","IMAGE","missing featured image"
