line,kind,text
4486,process_punjenje,'Cilj': 'čvrsto punjenje bez zraka'
4585,timeline,const timelineCards = document.querySelectorAll(
4586,timeline,"'#kronologija .dcv5-timeline-item, #kronologija article, #kronologija .dcv5-step'"
4589,timeline,timelineCards.forEach(function (card) {
4594,timeline,"const heading = card.querySelector('h3, h4, .dcv5-timeline-title');"
4624,timeline,"const critical = card.querySelector('.dcv5-critical, .dcv5-timeline-critical');"
4687,defaults,if (!function_exists('dcv12_defaults_for_family')) {
4688,defaults,function dcv12_defaults_for_family($family) {
4689,timeline,$kobasica_timeline = [
4690,field_granulation,"['day'=>'Dan 1','title'=>'Priprema mesa','text'=>'Sirovinu očistiti, ohladiti i pripremiti za mljevenje ili rezanje.','critical'=>'Meso i masnoća moraju ostati hladni.'],"
4691,fallback_prema_receptu,"['day'=>'Dan 1','title'=>'Mljevenje','text'=>'Meso mljeti prema receptu, bez nepotrebnog ponavljanja mljevenja.','critical'=>'Ako se masa lijepi i maže, rad prekinuti i ohladiti sirovinu.'],"
4691,field_granulation,"['day'=>'Dan 1','title'=>'Mljevenje','text'=>'Meso mljeti prema receptu, bez nepotrebnog ponavljanja mljevenja.','critical'=>'Ako se masa lijepi i maže, rad prekinuti i ohladiti sirovinu.'],"
4692,garlic,"['day'=>'Dan 1','title'=>'Miješanje','text'=>'Dodati sol, začine i predviđenu češnjakovu tekućinu te miješati do ravnomjernog rasporeda.','critical'=>'Nadjev ne smije postati topao ni pastozan.'],"
4694,process_punjenje,"['day'=>'Dan 2','title'=>'Punjenje','text'=>'Puniti u pripremljena crijeva bez zračnih džepova.','critical'=>'Svaki mjehurić zraka treba probosti čistom iglom.'],"
4694,field_crijeva,"['day'=>'Dan 2','title'=>'Punjenje','text'=>'Puniti u pripremljena crijeva bez zračnih džepova.','critical'=>'Svaki mjehurić zraka treba probosti čistom iglom.'],"
4703,timeline,$whole_timeline = [
4713,defaults,$defaults = [
4716,fallback_prema_receptu,"['label'=>'Šarža','value'=>'10 kg / prema receptu'],"
4719,fallback_prema_receptu,"['label'=>'Omotač','value'=>'prema receptu'],"
4719,field_crijeva,"['label'=>'Omotač','value'=>'prema receptu'],"
4722,timeline,"'timeline' => $kobasica_timeline,"
4734,defaults,$defaults['type'] = 'Kobasica';
4735,defaults,$defaults['quick'] = [
4739,field_crijeva,"['label'=>'Crijeva','value'=>'širi omotač'],"
4743,defaults,$defaults['type'] = 'Kobasica/Salama';
4744,defaults,$defaults['quick'] = [
4748,field_crijeva,"['label'=>'Omotač','value'=>'širi omotač'],"
4752,defaults,$defaults['type'] = ($family === 'slanina_panceta') ? 'Slanina' : 'Cijeli komad';
4753,defaults,$defaults['quick'] = [
4757,field_crijeva,"['label'=>'Omotač','value'=>'bez crijeva'],"
4760,timeline,$defaults['timeline'] = $whole_timeline;
4760,defaults,$defaults['timeline'] = $whole_timeline;
4762,defaults,$defaults['type'] = 'Iznutrice';
4763,defaults,$defaults['quick'] = [
4765,fallback_prema_receptu,"['label'=>'Trajanje','value'=>'prema receptu'],"
4766,fallback_prema_receptu,"['label'=>'Toplinska obrada','value'=>'prema receptu'],"
4767,fallback_prema_receptu,"['label'=>'Omotač','value'=>'prema receptu'],"
4767,field_crijeva,"['label'=>'Omotač','value'=>'prema receptu'],"
4772,defaults,return $defaults;
4777,defaults,"function dcv12_short_lead_from_post($post_id, $fallback) {"
4783,defaults,return $fallback;
4896,field_crijeva,"$crijeva_sec = dcv12_extract_md_section($content, 7);"
4897,garlic,"$cesnjak_sec = dcv12_extract_md_section($content, 8);"
4941,garlic,"strpos($lower, 'češnjak') !== false ||"
4942,garlic,"strpos($lower, 'cesnjak') !== false ||"
4956,garlic,"'note' => $note ?: 'Koristi se kao procijeđena češnjakova aroma; vlakna češnjaka ne dodavati izravno u nadjev.',"
4969,garlic,if ($cesnjak_sec && empty($liquids)) {
4970,garlic,$clean = wp_strip_all_tags($cesnjak_sec);
4973,garlic,"'name' => 'Češnjakova tekućina',"
4982,field_crijeva,if ($crijeva_sec) {
4983,field_crijeva,$casings_note = wp_strip_all_tags($crijeva_sec);
5007,defaults,$defaults = dcv12_defaults_for_family($family);
5036,garlic,"'name' => 'Češnjak se ne dodaje',"
5040,garlic,"'note' => 'U ovom receptu češnjak nije naveden kao sastojak.',"
5048,defaults,"'type' => $defaults['type'],"
5050,defaults,"'quick' => $defaults['quick'],"
5054,defaults,"'profile' => $defaults['profile'],"
5056,field_crijeva,"['title'=>'Izrada','text'=>'Raditi hladno, uredno i bez žurbe. Sirovina i omotači moraju biti pripremljeni prije početka.'],"
5063,timeline,"'timeline' => $defaults['timeline'],"
5063,defaults,"'timeline' => $defaults['timeline'],"
5066,process_punjenje,"['problem'=>'Zrak u proizvodu','phase'=>'Punjenje / oblikovanje','severity'=>'Rizik kvarenja','level'=>'danger','cause'=>'Labavo punjenje ili loše oblikovanje.','solution'=>'Puniti i oblikovati čvrsto te ukloniti zračne džepove gdje je moguće.'],"
5101,meta_read,"$code = get_post_meta($post_id, '_dry_recipe_id', true);"
5125,meta_read,"$type = get_post_meta($post_id, '_dry_product_type', true);"
5155,meta_read,"$code = get_post_meta($post_id, '_dry_recipe_id', true);"
5174,garlic,"strpos($name, 'češnjak') !== false ||"
5175,garlic,"strpos($name, 'cesnjak') !== false ||"
5188,garlic,"strpos($text, 'ekstrakciju češnjaka') !== false ||"
5189,garlic,"strpos($text, 'ekstrakcija češnjaka') !== false ||"
5228,garlic,$item['note'] = 'Sastojak paca ili začinskog premaza za cijeli komad. Ne prikazuje se kao zasebna češnjakova tekućina osim ako recept izričito navodi mokri pac ili salamuru.';
5257,meta_read,"$code = get_post_meta($post_id, '_dry_recipe_id', true);"
5270,garlic,"// Sidebar link: za cijele komade nema generičkog bloka ""Tekućine i češnjak""."
5271,garlic,"$content = str_replace('<a href=""#tekucine"">Tekućine i češnjak</a>', '', $content);"
5287,garlic,// Kod suhih cijelih komada uklanja se generička sekcija tekućina/češnjak.
5319,fallback_prema_receptu,"'Mljevenje': {'Trajanje':'odmah nakon hlađenja','Temperatura':'0–4 °C','Rešetka':'prema receptu','Cilj':'ravnomjerna granulacija bez kašaste mase'},"
5319,field_granulation,"'Mljevenje': {'Trajanje':'odmah nakon hlađenja','Temperatura':'0–4 °C','Rešetka':'prema receptu','Cilj':'ravnomjerna granulacija bez kašaste mase'},"
5320,fallback_hladna_masa,"'Miješanje': {'Trajanje':'8–12 min','Temperatura':'hladna masa','Kontrola':'nadjev ne smije postati topao','Cilj':'ravnomjeran raspored soli i začina'},"
5322,fallback_prema_receptu,"'Punjenje': {'Trajanje':'isti dan','Temperatura':'hladna masa','Crijeva':'prema receptu','Cilj':'čvrsto punjenje bez zraka'},"
5322,fallback_hladna_masa,"'Punjenje': {'Trajanje':'isti dan','Temperatura':'hladna masa','Crijeva':'prema receptu','Cilj':'čvrsto punjenje bez zraka'},"
5322,process_punjenje,"'Punjenje': {'Trajanje':'isti dan','Temperatura':'hladna masa','Crijeva':'prema receptu','Cilj':'čvrsto punjenje bez zraka'},"
5322,field_crijeva,"'Punjenje': {'Trajanje':'isti dan','Temperatura':'hladna masa','Crijeva':'prema receptu','Cilj':'čvrsto punjenje bez zraka'},"
5345,timeline,document.querySelectorAll('#kronologija .dcv5-timeline-item').forEach(function (card) {
5348,timeline,"const heading = card.querySelector('h3, h4, .dcv5-timeline-title');"
5372,timeline,"const critical = card.querySelector('.dcv5-critical, .dcv5-timeline-critical');"
5464,fallback_prema_receptu,$note = $item['note'] ?? 'Aromatska tekućina dodaje se u maloj količini prema receptu.';
5517,garlic,* 3) Globalno pravilo za češnjak:
5518,garlic,"* Ako postoji češnjak/bijeli luk, ali nema zasebne tekućine za ekstrakciju,"
5522,garlic,* 1 g češnjaka ≈ 2 ml tekućine za ekstrakciju.
5534,garlic,"strpos($name_lower, 'češnjak') !== false ||"
5535,garlic,"strpos($name_lower, 'cesnjak') !== false ||"
5577,garlic,$liquid_name = 'Mješavina vode i vina za ekstrakciju češnjaka';
5578,fallback_prema_receptu,"$liquid_note = 'Tekućinu pripremiti prema receptu: voda mora biti prokuhana i potpuno ohlađena, vino hladno. Češnjak zgnječiti, namakati 20–30 minuta, promiješati i procijediti kroz gazu. U smjesu dodati samo procijeđenu tekućinu.';"
5578,garlic,"$liquid_note = 'Tekućinu pripremiti prema receptu: voda mora biti prokuhana i potpuno ohlađena, vino hladno. Češnjak zgnječiti, namakati 20–30 minuta, promiješati i procijediti kroz gazu. U smjesu dodati samo procijeđenu tekućinu.';"
5580,garlic,$liquid_name = 'Vino za ekstrakciju češnjaka';
5581,garlic,"$liquid_note = 'Češnjak zgnječiti, namakati 20–30 minuta u hladnom vinu, promiješati i procijediti kroz gazu. U smjesu dodati samo procijeđenu tekućinu, bez vlakana češnjaka.';"
5583,garlic,$liquid_name = 'Prokuhana i ohlađena voda za ekstrakciju češnjaka';
5584,garlic,"$liquid_note = 'Vodu prvo prokuhati i potpuno ohladiti. Češnjak zgnječiti, namakati 20–30 minuta, promiješati i procijediti kroz gazu. U smjesu dodati samo procijeđenu aromatsku tekućinu, bez vlakana češnjaka.';"
5592,garlic,"'note' => 'Radna količina za ' . (int)round($garlic_grams) . ' g češnjaka: približno ' . (int)$ml . ' ml tekućine. ' . $liquid_note,"
5730,field_granulation,"'šajba', 'sajba', 'rešetka', 'resetka',"
5733,field_crijeva,"'crijevo', 'crijeva', 'omotač', 'omotac', 'omotači', 'omotaci'"
5755,garlic,"strpos($name, 'češnjak') !== false ||"
5756,garlic,"strpos($name, 'cesnjak') !== false ||"
5964,garlic,"'note' => 'Procijeđena aromatska komponenta; vlakna češnjaka ne dodavati u nadjev.',"
5967,garlic,"'name' => 'Prokuhana i ohlađena voda za ekstrakciju češnjaka',"
5971,garlic,"'note' => 'Standardna količina za češnjakovu ekstrakciju kod šarže od 10 kg. Vodu prokuhati i potpuno ohladiti; češnjak zgnječiti, namakati 20–30 minuta, promiješati i procijediti kroz gazu.',"
6059,meta_read,"$type = $post_id ? get_post_meta($post_id, '_dry_product_type', true) : '';"
6079,meta_read,"$code = get_post_meta($post_id, '_dry_recipe_id', true);"
6087,garlic,"* ""Tekućine i češnjak"". Češnjak, paprika i papar kod njih pripadaju"
6093,garlic,"'/<a\b[^>]*href=[""\']#tekucine[""\'][^>]*>\s*Tekućine i češnjak\s*<\/a>/iu',"
6105,garlic,// Ukloni samu sekciju Tekućine i češnjak po ID-u.
6113,garlic,"// Ako je negdje ostao tekst bez ID-a, ukloni panel koji ima naslov Tekućine i češnjak."
6115,garlic,"'/\s*<section\b[^>]*class=[""\'][^""\']*dcv5-panel[^""\']*[""\'][^>]*>\s*<[^>]*>\s*(?:<span[^>]*>.*?<\/span>\s*)?Tekućine i češnjak\s*<\/[^>]+>.*?<\/section>/isu',"
6132,fallback_prema_receptu,"'Sastojci suhog paca i začinskog premaza prikazuju se u gramima i g/kg. Pac se ravnomjerno utrljava u površinu komada, a meso se drži na hladnom i okreće prema receptu.',"
6170,meta_read,"$markdown = $post_id ? get_post_meta($post_id, '_dry_recipe_full_markdown', true) : '';"
6217,meta_read,"$code = get_post_meta($post_id, '_dry_recipe_id', true);"
6299,garlic,"'note' => 'Samo sok, bez vlakana. Češnjak se zgnječi i procijedi kroz gazu; vlakna se ne dodaju u nadjev.',"
6307,field_crijeva,"'note' => 'Minimalni promjer 80–120 mm; isključivo prirodni omotač. Namakati i pripremiti prema tehnološkoj uputi, ali ne prikazivati kao sastojak nadjeva.',"
6337,meta_read,"$code = get_post_meta($post_id, '_dry_recipe_id', true);"
6347,field_crijeva,* - pogrešan kalibar crijeva
6404,field_crijeva,"'goveđa slijepa crijeva ili kate' => 'svinjsko slijepo crijevo / kate',"
6433,meta_read,"$code = get_post_meta($post_id, '_dry_recipe_id', true);"
6441,field_crijeva,"* Izvorni omotač je svinjsko slijepo crijevo / kate, promjer 80–120 mm."
6442,field_crijeva,"* Stare vrijednosti 55–60 mm, 55–80 mm i generički ""širi prirodni omotač"""
6446,field_crijeva,"'širi prirodni omotač 55–80 mm' => 'svinjsko slijepo crijevo / kate, 80–120 mm',"
6447,field_crijeva,"'širi prirodni omotač 55-80 mm' => 'svinjsko slijepo crijevo / kate, 80–120 mm',"
6448,field_crijeva,"'širi prirodni omotač' => 'svinjsko slijepo crijevo / kate',"
6449,field_crijeva,"'prirodni omotač 55–80 mm' => 'svinjsko slijepo crijevo / kate, 80–120 mm',"
6450,field_crijeva,"'prirodni omotač 55-80 mm' => 'svinjsko slijepo crijevo / kate, 80–120 mm',"
6456,field_crijeva,"'goveđa slijepa crijeva ili kate' => 'svinjsko slijepo crijevo / kate',"
6457,field_crijeva,"'Kod širokog omotača zračni džepovi su ozbiljan rizik kvarenja.' => 'Kod svinjskog slijepog crijeva / kate zračni džepovi su ozbiljan rizik kvarenja.',"
6485,meta_read,"foreach (['_dry_recipe_id', 'dry_recipe_id', '_recipe_id'] as $key) {"
6486,meta_read,"if ((string)get_post_meta($post_id, $key, true) === 'HR-SL-001') {"
6510,field_crijeva,"'goveđa slijepa crijeva ili kate' => 'svinjsko slijepo crijevo / kate',"
6513,field_crijeva,"'širi prirodni omotač 55–80 mm' => 'svinjsko slijepo crijevo / kate, 80–120 mm',"
6514,field_crijeva,"'širi prirodni omotač 55-80 mm' => 'svinjsko slijepo crijevo / kate, 80–120 mm',"
6620,garlic,"'note' => 'Samo procijeđeni sok bez vlakana; vlakna češnjaka ne idu u nadjev.',"
6628,field_crijeva,"'note' => 'Prirodni omotač promjera 80–120 mm. Namakanje i priprema prema tehnološkoj uputi.',"
6661,meta_read,"$code = (string)get_post_meta($post_id, '_dry_recipe_id', true);"
6680,field_crijeva,"<p>Omotač: svinjsko slijepo crijevo / kate, promjer 80–120 mm. Dimljenje: hladni dim ≤25 °C. Zrenje: minimalno 150 dana, optimalno 6–9 mjeseci. Minimalni gubitak mase: 30 %.</p>"
