post_id,recipe_id,post_title,meta_key,bad_value,context_excerpt
3168,MD-RAKFISK_FERMENTIRANI_SLATKOVODNI_LOSOS,"RAKFISK (FERMENTIRANI SLATKOVODNI LOSOS)",_dry_recipe_full_markdown,"2,222","i: - 6,667 kg pastrve ili slatkovodnog lososa (cijela riba 2,222 kg–4,444 kg po komadu) - 200 g grube morske soli (3% težine ribe) - 133 g šećera (2% tež"
3168,MD-RAKFISK_FERMENTIRANI_SLATKOVODNI_LOSOS,"RAKFISK (FERMENTIRANI SLATKOVODNI LOSOS)",_dry_recipe_full_markdown,"4,444","kg pastrve ili slatkovodnog lososa (cijela riba 2,222 kg–4,444 kg po komadu) - 200 g grube morske soli (3% težine ribe) - 133 g šećera (2% težine ribe) -"
3146,MD-GELLUR_SUSENI_RIBLJI_JEZICI,"Gellur (Sušeni riblji jezici)",_dry_recipe_full_markdown,"6,667","### Sastojci: - 10,000 kg mesna sirovina prema receptu - 6,667 kg bakalarevih jezika (očišćenih) - 3,333 kg jezika manjića (očišćenih) - 3,333 kg krup"
3146,MD-GELLUR_SUSENI_RIBLJI_JEZICI,"Gellur (Sušeni riblji jezici)",_dry_recipe_full_markdown,"3,333","rema receptu - 6,667 kg bakalarevih jezika (očišćenih) - 3,333 kg jezika manjića (očišćenih) - 3,333 kg krupne morske soli - 167 g smeđeg šećera - 100"
3146,MD-GELLUR_SUSENI_RIBLJI_JEZICI,"Gellur (Sušeni riblji jezici)",_dry_recipe_full_markdown,"3,333","(očišćenih) - 3,333 kg jezika manjića (očišćenih) - 3,333 kg krupne morske soli - 167 g smeđeg šećera - 100 g mljevenog bijelog papra - 50 g islandsk"
3146,MD-GELLUR_SUSENI_RIBLJI_JEZICI,"Gellur (Sušeni riblji jezici)",_dry_recipe_full_markdown,"6,667","ljevenog muskatnog oraščića - 10 g mljevenog kardamoma - 6,667 L slane vode (10% koncentracija soli) ### Crijeva / omotač: Crijeva se ne koriste. Proizvod"
3143,MD-TORF_R_UR_LAMBAHRYGGUR_ZAKOPANA_JANJECA_LEDA,"Torfær​ður Lambahryggur (Zakopana janjeća leđa)",_dry_recipe_full_markdown,"3,333",": - 10,000 kg janjetina/ovčetina, riba/morski proizvodi - 3,333 kg janjeće leđne pečenke s kostima - 267 g krupne morske soli - 67 g smeđeg šećera - 33"
3143,MD-TORF_R_UR_LAMBAHRYGGUR_ZAKOPANA_JANJECA_LEDA,"Torfær​ður Lambahryggur (Zakopana janjeća leđa)",_dry_recipe_full_markdown,"6,667","ajnika (fjallagrös), usitnjenog - 3 g mljevene gorušice - 6,667 kg islandskog treseta (za zakopavanje) ### Crijeva / omotač: Crijeva se ne koriste. Proizvo"
3133,MD-PIHTI,"Pihti (Πηχτή)",_dry_recipe_full_markdown,"6,667","ez vlažne jezgre ili sumnjive površine. ### Sastojci: - 6,667 kg svinjskih nogica, očišćenih i razpolovljenih - 3,333 kg svinjskih uši i njuške - 5,557"
3133,MD-PIHTI,"Pihti (Πηχτή)",_dry_recipe_full_markdown,"3,333","6,667 kg svinjskih nogica, očišćenih i razpolovljenih - 3,333 kg svinjskih uši i njuške - 5,557 kg svinjske kože - 500 g morske soli - 80 ml jabučnog oc"
3128,MD-KYLMASAVULOHI_HLADNO_DIMLJENI_LOSOS,"KYLMÄSAVULOHI (HLADNO DIMLJENI LOSOS)",_dry_recipe_full_markdown,"6,667","ez vlažne jezgre ili sumnjive površine. ### Sastojci: - 6,667 kg svježeg lososa (filet s kožom) - 533 g morske soli (267 g po kg ribe) - 133 g šećera -"
3128,MD-KYLMASAVULOHI_HLADNO_DIMLJENI_LOSOS,"KYLMÄSAVULOHI (HLADNO DIMLJENI LOSOS)",_dry_recipe_full_markdown,"3,333","a - 17 g kopra (sušenog) - Piljevina od johe za dimljenje (3,333 kg) ### Crijeva / omotač: Crijeva se ne koriste. Proizvod se obrađuje kao cijeli komad mes"
3090,MD-MALESHEVSKA_BABICHKA,"Maleshevska Babichka (Малешевска бабичка)",_dry_recipe_full_markdown,"13,333","kg svinjskog buta, bez kosti - 31,113 kg svinjskog vrata - 13,333 kg tvrde svinjske masti (slanine) - 400 g kuhinjske soli - 167 g crvene slatke paprike - 120"
2355,MD-PROSHUTA_SHQIPTARE_ALBANSKA_PRSUTA,"Proshuta Shqiptare – albanska pršuta",_dry_recipe_full_markdown,"8,889","ez vlažne jezgre ili sumnjive površine. ### Sastojci: - 8,889 kg–11,111 kg svinjskog buta s kosti - 444 g krupne morske soli - 67 g mljevenog crnog papra"
2355,MD-PROSHUTA_SHQIPTARE_ALBANSKA_PRSUTA,"Proshuta Shqiptare – albanska pršuta",_dry_recipe_full_markdown,"11,111","jezgre ili sumnjive površine. ### Sastojci: - 8,889 kg–11,111 kg svinjskog buta s kosti - 444 g krupne morske soli - 67 g mljevenog crnog papra - 33 g mlje"
2540,MD-HRUTSPUNGAR_PRESANA_JANJECA_MUDA,"Hrútspungar (Prešana janjeća muda)",_dry_recipe_full_markdown,"6,667","četina, riba/morski proizvodi - 10,000 kg janječih muda - 6,667 kg krupne morske soli - 167 g smeđeg šećera - 67 g mljevenog bijelog papra - 33 g suhog lov"
2540,MD-HRUTSPUNGAR_PRESANA_JANJECA_MUDA,"Hrútspungar (Prešana janjeća muda)",_dry_recipe_full_markdown,"6,667","g sjemenki kumina - 20 g mljevenog muškatnog oraščića - 6,667 L vode (za kuhanje) ### Crijeva / omotač: Crijeva se ne koriste. Proizvod se obrađuje kao"
2530,MD-IRSKA_SUNKA_U_PIVU_BEER_CURED_HAM,"Irska šunka u pivu (Beer-Cured Ham)",_dry_recipe_full_markdown,"3,333","�ine. ### Sastojci: - 10,000 kg svinjskog buta s kožom - 3,333 L tamnog irskog piva (Guinness ili slično) - 667 g morske soli - 333 g smeđeg šećera - 67"
2623,MD-PRESUNTO_PORTUGUES_PORTUGALSKA_PRSUTA,"Presunto Português (Portugalska pršuta)",_dry_recipe_full_markdown,"8,889","ez vlažne jezgre ili sumnjive površine. ### Sastojci: - 8,889 kg–11,111 kg svinjski but s kosti (najbolje s manjim udjelom masnoće) - 444 g krupne morske"
2623,MD-PRESUNTO_PORTUGUES_PORTUGALSKA_PRSUTA,"Presunto Português (Portugalska pršuta)",_dry_recipe_full_markdown,"11,111","jezgre ili sumnjive površine. ### Sastojci: - 8,889 kg–11,111 kg svinjski but s kosti (najbolje s manjim udjelom masnoće) - 444 g krupne morske soli (56 g"
2623,MD-PRESUNTO_PORTUGUES_PORTUGALSKA_PRSUTA,"Presunto Português (Portugalska pršuta)",_dry_recipe_full_markdown,"1,111","u prahu - 6 g mljevenog klinčića - 3 g mljevenog cimeta - 1,111 L bijelog vina (Vinho Verde) ### Crijeva / omotač: Crijeva se ne koriste. Proizvod se obra�"
2621,MD-BOCZEK_W_DZONY_DIMLJENA_SLANINA,"BOCZEK WĘDZONY (DIMLJENA SLANINA)",_dry_recipe_full_markdown,"6,667","mina - 13 g usitnjenog ružmarina - 10 g mljevenog lovora - 6,667 L hladne vode za salamuru ### Crijeva / omotač: Crijeva se ne koriste. Proizvod se obrađuj"
2598,MD-SPEKESKINKE_NORSKA_PRSUTA,"SPEKESKINKE (NORŠKA PRŠUTA)",_dry_recipe_full_markdown,"8,889","jive površine. ### Sastojci: - 1 svinjski but bez kosti (8,889 kg–11,111 kg) - 178 g morske soli po kilogramu mesa (711–889 g ukupno) - 18 g šećera po"
2598,MD-SPEKESKINKE_NORSKA_PRSUTA,"SPEKESKINKE (NORŠKA PRŠUTA)",_dry_recipe_full_markdown,"11,111","ine. ### Sastojci: - 1 svinjski but bez kosti (8,889 kg–11,111 kg) - 178 g morske soli po kilogramu mesa (711–889 g ukupno) - 18 g šećera po kilogramu m"
2589,MD-SPEKELAR_SUSENA_I_DIMLJENA_JELEN_SRNETINA,"SPEKELÅR (SUŠENA I DIMLJENA JELEN/SRNETINA)",_dry_recipe_full_markdown,"8,333","### Sastojci: - 1 but divljači (jelen ili srna) težine 8,333 kg–11,667 kg - 233 g morske soli po kilogramu mesa (583–817 g ukupno) - 33 g smeđeg šeć"
2589,MD-SPEKELAR_SUSENA_I_DIMLJENA_JELEN_SRNETINA,"SPEKELÅR (SUŠENA I DIMLJENA JELEN/SRNETINA)",_dry_recipe_full_markdown,"11,667","jci: - 1 but divljači (jelen ili srna) težine 8,333 kg–11,667 kg - 233 g morske soli po kilogramu mesa (583–817 g ukupno) - 33 g smeđeg šećera po kilo"
2747,MD-LONZINO_LOMBO,"LONZINO (LOMBO)",_dry_recipe_full_markdown,"8,889","vlažne jezgre ili sumnjive površine. ### Sastojci: - * 8,889 kg–11,111 kg svinjske pisanice (lungić) - * 356 g morske soli - * 67 g nitritne soli - * 89"
2747,MD-LONZINO_LOMBO,"LONZINO (LOMBO)",_dry_recipe_full_markdown,"11,111","zgre ili sumnjive površine. ### Sastojci: - * 8,889 kg–11,111 kg svinjske pisanice (lungić) - * 356 g morske soli - * 67 g nitritne soli - * 89 g crnog pa"
2746,MD-CULATELLO_DI_ZIBELLO,"CULATELLO DI ZIBELLO",_dry_recipe_full_markdown,"8,889","vlažne jezgre ili sumnjive površine. ### Sastojci: - * 8,889 kg–11,111 kg svinjskog buta (najbolji dio stražnjeg buta) - * 667 g morske soli - * 67 g cr"
2746,MD-CULATELLO_DI_ZIBELLO,"CULATELLO DI ZIBELLO",_dry_recipe_full_markdown,"11,111","zgre ili sumnjive površine. ### Sastojci: - * 8,889 kg–11,111 kg svinjskog buta (najbolji dio stražnjeg buta) - * 667 g morske soli - * 67 g crnog papra u"
2715,MD-IDRIJSKO_KOSILO,"Idrijsko kosilo",_dry_recipe_full_markdown,"6,667","vlažne jezgre ili sumnjive površine. ### Sastojci: - * 6,667 kg goveđeg mesa (prsa ili rebra) - * 3,333 kg svinjskog mesa (vrat) - * 5,557 kg svinjskog je"
2715,MD-IDRIJSKO_KOSILO,"Idrijsko kosilo",_dry_recipe_full_markdown,"3,333","Sastojci: - * 6,667 kg goveđeg mesa (prsa ili rebra) - * 3,333 kg svinjskog mesa (vrat) - * 5,557 kg svinjskog jezika - * 3,333 kg svinjskih obraza - * 500 g"
2715,MD-IDRIJSKO_KOSILO,"Idrijsko kosilo",_dry_recipe_full_markdown,"3,333","kg svinjskog mesa (vrat) - * 5,557 kg svinjskog jezika - * 3,333 kg svinjskih obraza - * 500 g kuhinjske soli - * 167 g nitritne soli - * 50 g mljevenog crnog"
2064,MD-COPPA_CAPOCOLLO_TALIJANSKA_VRATINA,"COPPA (CAPOCOLLO) &#8211; TALIJANSKA VRATINA",_dry_recipe_full_markdown,"8,889","vlažne jezgre ili sumnjive površine. ### Sastojci: - * 8,889 kg–11,111 kg svinjskog vrata (cijeli komad) - * 311 g morske soli - * 67 g mljevenog crnog p"
2064,MD-COPPA_CAPOCOLLO_TALIJANSKA_VRATINA,"COPPA (CAPOCOLLO) &#8211; TALIJANSKA VRATINA",_dry_recipe_full_markdown,"11,111","zgre ili sumnjive površine. ### Sastojci: - * 8,889 kg–11,111 kg svinjskog vrata (cijeli komad) - * 311 g morske soli - * 67 g mljevenog crnog papra - * 44"
