post_id,title,url,recipe_code,code_source,post_content_bytes,full_markdown_bytes,sections_bytes,data_bytes,dcv5_get_recipe_profile_exists,dcv5_profile_found,dcv5_profile_title,dcv5_profile_code,real_frontend_dcv5,visible_text_bytes,likely_gate_reason
2039,"Ukrajinska Domashnia Kovbasa (Domaća Kobasica)",https://drycured.com/recepti-baza/ukrajinska-domashnia-kovbasa-domaca-kobasica/,MD-UKRAJINSKA_DOMASHNIA_KOVBASA_DOMACA_KOBASICA,_dry_recipe_id=MD-UKRAJINSKA_DOMASHNIA_KOVBASA_DOMACA_KOBASICA,4281,4281,0,3623,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2042,"BALMOȘ CU SLANINĂ (PALENTA SA SLANINOM)",https://drycured.com/recepti-baza/balmos-cu-slanina-palenta-sa-slaninom/,MD-BALMO_CU_SLANIN_PALENTA_SA_SLANINOM,_dry_recipe_id=MD-BALMO_CU_SLANIN_PALENTA_SA_SLANINOM,3503,3503,0,4814,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2043,"PFÄLZER SAUMAGEN (FALAČKA SVINJSKA ŽELUDAC-KOBASICA)",https://drycured.com/recepti-baza/pfalzer-saumagen-falacka-svinjska-zeludac-kobasica/,MD-PFALZER_SAUMAGEN_FALACKA_SVINJSKA_ZELUDAC_KOBASICA,_dry_recipe_id=MD-PFALZER_SAUMAGEN_FALACKA_SVINJSKA_ZELUDAC_KOBASICA,4741,4741,0,8906,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2047,"Domaći Bratwurst",https://drycured.com/recepti-baza/domaci-bratwurst/,MD-DOMACI_BRATWURST,_dry_recipe_id=MD-DOMACI_BRATWURST,3704,3704,0,6722,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2049,"Hausmacher Mettwurst (Domaća dimljena kobasica za mazanje)",https://drycured.com/recepti-baza/hausmacher-mettwurst-domaca-dimljena-kobasica-za-mazanje/,MD-HAUSMACHER_METTWURST_DOMACA_DIMLJENA_KOBASICA_ZA_MAZANJE,_dry_recipe_id=MD-HAUSMACHER_METTWURST_DOMACA_DIMLJENA_KOBASICA_ZA_MAZANJE,4079,4079,0,6722,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2051,"ŠKOTSKI LORNE SAUSAGE (ČETVRTASTI KOBASIČASTI ODREZAK)",https://drycured.com/recepti-baza/skotski-lorne-sausage-cetvrtasti-kobasicasti-odrezak/,MD-SKOTSKI_LORNE_SAUSAGE_CETVRTASTI_KOBASICASTI_ODREZAK,_dry_recipe_id=MD-SKOTSKI_LORNE_SAUSAGE_CETVRTASTI_KOBASICASTI_ODREZAK,4267,4267,0,6914,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2052,"Jamón Ibérico de Bellota - Iberijski Pršut od Žira",https://drycured.com/recepti-baza/jamon-iberico-de-bellota-iberijski-prsut-od-zira/,MD-JAMON_IBERICO_DE_BELLOTA_IBERIJSKI_PRSUT_OD_ZIRA,_dry_recipe_id=MD-JAMON_IBERICO_DE_BELLOTA_IBERIJSKI_PRSUT_OD_ZIRA,3757,3757,0,8247,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2053,"Chorizo de Pamplona - Čorizo iz Pamplone",https://drycured.com/recepti-baza/chorizo-de-pamplona-corizo-iz-pamplone/,MD-CHORIZO_DE_PAMPLONA_CORIZO_IZ_PAMPLONE,_dry_recipe_id=MD-CHORIZO_DE_PAMPLONA_CORIZO_IZ_PAMPLONE,4504,4504,0,5476,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2055,"Coppa Piacentina - Piacentinska Coppa",https://drycured.com/recepti-baza/coppa-piacentina-piacentinska-coppa/,MD-COPPA_PIACENTINA_PIACENTINSKA_COPPA,_dry_recipe_id=MD-COPPA_PIACENTINA_PIACENTINSKA_COPPA,3950,3950,0,5027,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2056,"Nduja Calabrese - Kalabrijska Nduja",https://drycured.com/recepti-baza/nduja-calabrese-kalabrijska-nduja/,MD-NDUJA_CALABRESE_KALABRIJSKA_NDUJA,_dry_recipe_id=MD-NDUJA_CALABRESE_KALABRIJSKA_NDUJA,3775,3775,0,5130,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2057,"Bresaola Valtellinese - Valtelinska Bresaola",https://drycured.com/recepti-baza/bresaola-valtellinese-valtelinska-bresaola/,MD-BRESAOLA_VALTELLINESE_VALTELINSKA_BRESAOLA,_dry_recipe_id=MD-BRESAOLA_VALTELLINESE_VALTELINSKA_BRESAOLA,3710,3710,0,8106,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2058,"Guanciale Romano - Rimski Guanciale",https://drycured.com/recepti-baza/guanciale-romano-rimski-guanciale/,MD-GUANCIALE_ROMANO_RIMSKI_GUANCIALE,_dry_recipe_id=MD-GUANCIALE_ROMANO_RIMSKI_GUANCIALE,3831,3831,0,5316,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2059,"SALAME MILANO - MILANSKA SALAMA",https://drycured.com/recepti-baza/salame-milano-milanska-salama/,MD-SALAME_MILANO_MILANSKA_SALAMA,_dry_recipe_id=MD-SALAME_MILANO_MILANSKA_SALAMA,4400,4400,0,3474,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2060,"SOPPRESSATA CALABRESE - KALABRIJSKA SOPPRESSATA",https://drycured.com/recepti-baza/soppressata-calabrese-kalabrijska-soppressata/,MD-SOPPRESSATA_CALABRESE_KALABRIJSKA_SOPPRESSATA,_dry_recipe_id=MD-SOPPRESSATA_CALABRESE_KALABRIJSKA_SOPPRESSATA,4071,4071,0,3416,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2061,"PROSCIUTTO DI PARMA - PARMSKA ŠUNKA",https://drycured.com/recepti-baza/prosciutto-di-parma-parmska-sunka/,MD-PROSCIUTTO_DI_PARMA_PARMSKA_SUNKA,_dry_recipe_id=MD-PROSCIUTTO_DI_PARMA_PARMSKA_SUNKA,3344,3344,0,2529,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2062,"PANCETTA ARROTOLATA - ROLANA PANCETA",https://drycured.com/recepti-baza/pancetta-arrotolata-rolana-panceta/,MD-PANCETTA_ARROTOLATA_ROLANA_PANCETA,_dry_recipe_id=MD-PANCETTA_ARROTOLATA_ROLANA_PANCETA,3816,3816,0,3151,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2063,"FINOCCHIONA TOSCANA - TOSKANSKA KOBASICA S KOMORAČEM",https://drycured.com/recepti-baza/finocchiona-toscana-toskanska-kobasica-s-komoracem/,MD-FINOCCHIONA_TOSCANA_TOSKANSKA_KOBASICA_S_KOMORACEM,_dry_recipe_id=MD-FINOCCHIONA_TOSCANA_TOSKANSKA_KOBASICA_S_KOMORACEM,4344,4344,0,3296,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2064,"COPPA (CAPOCOLLO) - TALIJANSKA VRATINA",https://drycured.com/recepti-baza/coppa-capocollo-talijanska-vratina/,MD-COPPA_CAPOCOLLO_TALIJANSKA_VRATINA,_dry_recipe_id=MD-COPPA_CAPOCOLLO_TALIJANSKA_VRATINA,3766,3766,0,3273,YES,YES,"COPPA (CAPOCOLLO) – TALIJANSKA VRATINA",MD-COPPA_CAPOCOLLO_TALIJANSKA_VRATINA,YES,10351,OK_REAL_DCV5
2072,"Njeguški pršut",https://drycured.com/recepti-baza/njeguski-prsut/,MD-NJEGUSKI_PRSUT,_dry_recipe_id=MD-NJEGUSKI_PRSUT,3257,3257,0,4959,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2075,"Vrgorački kulen iz zaboravljenih recepata",https://drycured.com/recepti-baza/vrgoracki-kulen-iz-zaboravljenih-recepata/,MD-VRGORACKI_KULEN_IZ_ZABORAVLJENIH_RECEPATA,_dry_recipe_id=MD-VRGORACKI_KULEN_IZ_ZABORAVLJENIH_RECEPATA,3995,3995,0,4065,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2076,"Senjska Morska Panceta ""Bura Intenzitet""",https://drycured.com/recepti-baza/senjska-morska-panceta-bura-intenzitet/,MD-SENJSKA_MORSKA_PANCETA_BURA_INTENZITET,_dry_recipe_id=MD-SENJSKA_MORSKA_PANCETA_BURA_INTENZITET,3370,3370,0,5905,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2078,"ANDOUILLE DE VIRE",https://drycured.com/recepti-baza/andouille-de-vire/,MD-ANDOUILLE_DE_VIRE,_dry_recipe_id=MD-ANDOUILLE_DE_VIRE,4161,4161,0,6770,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2079,"COPPA CORSE",https://drycured.com/recepti-baza/coppa-corse/,MD-COPPA_CORSE,_dry_recipe_id=MD-COPPA_CORSE,3900,3900,0,7030,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2080,"SAUCISSE DE MORTEAU",https://drycured.com/recepti-baza/saucisse-de-morteau/,MD-SAUCISSE_DE_MORTEAU,_dry_recipe_id=MD-SAUCISSE_DE_MORTEAU,4163,4163,0,6813,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2086,"Prekomurska Slaninska Rolada ""Trnčova""",https://drycured.com/recepti-baza/prekomurska-slaninska-rolada-trncova/,MD-PREKOMURSKA_SLANINSKA_ROLADA_TRNCOVA,_dry_recipe_id=MD-PREKOMURSKA_SLANINSKA_ROLADA_TRNCOVA,3340,3340,0,6587,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2088,"Koprivnička Kulen",https://drycured.com/recepti-baza/koprivnicka-kulen/,MD-KOPRIVNICKA_KULEN,_dry_recipe_id=MD-KOPRIVNICKA_KULEN,3955,3955,0,4121,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2089,"KABANOSY (TANKE SUHE KOBASICE)",https://drycured.com/recepti-baza/kabanosy-tanke-suhe-kobasice/,MD-KABANOSY_TANKE_SUHE_KOBASICE,_dry_recipe_id=MD-KABANOSY_TANKE_SUHE_KOBASICE,4151,4151,0,4164,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2092,"Crikvenička Panceta",https://drycured.com/recepti-baza/crikvenicka-panceta/,MD-CRIKVENICKA_PANCETA,_dry_recipe_id=MD-CRIKVENICKA_PANCETA,3249,3249,0,3585,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2093,"Stara Koprivnička Salama ""Šokačka Priča""",https://drycured.com/recepti-baza/stara-koprivnicka-salama-sokacka-prica/,MD-STARA_KOPRIVNICKA_SALAMA_SOKACKA_PRICA,_dry_recipe_id=MD-STARA_KOPRIVNICKA_SALAMA_SOKACKA_PRICA,4115,4115,0,7173,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2094,"Pitomački ""Divlji Kulen""",https://drycured.com/recepti-baza/pitomacki-divlji-kulen/,MD-PITOMACKI_DIVLJI_KULEN,_dry_recipe_id=MD-PITOMACKI_DIVLJI_KULEN,3995,3995,0,6784,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2096,"SLĂNINĂ AFUMATĂ (Dimljena slanina)",https://drycured.com/recepti-baza/slanina-afumata-dimljena-slanina/,MD-SL_NIN_AFUMAT_DIMLJENA_SLANINA,_dry_recipe_id=MD-SL_NIN_AFUMAT_DIMLJENA_SLANINA,3643,3643,0,6530,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2097,"CHIȘCĂ (Puhana želuca s krvlju)",https://drycured.com/recepti-baza/chisca-puhana-zeluca-s-krvlju/,MD-CHI_C_PUHANA_ZELUCA_S_KRVLJU,_dry_recipe_id=MD-CHI_C_PUHANA_ZELUCA_S_KRVLJU,3895,3895,0,7169,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2100,"Miholjačka Začinska Salama",https://drycured.com/recepti-baza/miholjacka-zacinska-salama/,MD-MIHOLJACKA_ZACINSKA_SALAMA,_dry_recipe_id=MD-MIHOLJACKA_ZACINSKA_SALAMA,3963,3963,0,5252,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2101,"Vinkovački Slavonski Kulen - Stara obiteljska receptura",https://drycured.com/recepti-baza/vinkovacki-slavonski-kulen-stara-obiteljska-receptura/,MD-VINKOVACKI_SLAVONSKI_KULEN_STARA_OBITELJSKA_RECEPTURA,_dry_recipe_id=MD-VINKOVACKI_SLAVONSKI_KULEN_STARA_OBITELJSKA_RECEPTURA,4105,4105,0,5326,YES,YES,,,NO,1833,PROFILE_EXISTS_BUT_NOT_RENDERED
2102,"Slovačka slanina (Slovenská slanina)",https://drycured.com/recepti-baza/slovacka-slanina-slovenska-slanina/,MD-SLOVACKA_SLANINA_SLOVENSKA_SLANINA,_dry_recipe_id=MD-SLOVACKA_SLANINA_SLOVENSKA_SLANINA,3485,3485,0,6814,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2103,"Kranjska klobasa (Kranjska kobasica)",https://drycured.com/recepti-baza/kranjska-klobasa-kranjska-kobasica/,MD-KRANJSKA_KLOBASA_KRANJSKA_KOBASICA,_dry_recipe_id=MD-KRANJSKA_KLOBASA_KRANJSKA_KOBASICA,4072,4072,0,6466,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2104,"Kraški pršut",https://drycured.com/recepti-baza/kraski-prsut/,MD-KRASKI_PRSUT,_dry_recipe_id=MD-KRASKI_PRSUT,3270,3270,0,6153,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2106,"Gorenjska zaseka",https://drycured.com/recepti-baza/gorenjska-zaseka/,MD-GORENJSKA_ZASEKA,_dry_recipe_id=MD-GORENJSKA_ZASEKA,3534,3534,0,6511,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2107,"Vipavska panceta",https://drycured.com/recepti-baza/vipavska-panceta/,MD-VIPAVSKA_PANCETA,_dry_recipe_id=MD-VIPAVSKA_PANCETA,3704,3704,0,6887,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2108,"Tolminska salama",https://drycured.com/recepti-baza/tolminska-salama/,MD-TOLMINSKA_SALAMA,_dry_recipe_id=MD-TOLMINSKA_SALAMA,4277,4277,0,6861,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2110,"Crnogorska Slanina (Durmitorska panćeta)",https://drycured.com/recepti-baza/crnogorska-slanina-durmitorska-panceta/,MD-CRNOGORSKA_SLANINA_DURMITORSKA_PANCETA,_dry_recipe_id=MD-CRNOGORSKA_SLANINA_DURMITORSKA_PANCETA,3320,3320,0,5839,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2111,"LANDJÄGER (TRADICIONALNE DIMLJENE KOBASICE)",https://drycured.com/recepti-baza/landjager-tradicionalne-dimljene-kobasice/,MD-LANDJAGER_TRADICIONALNE_DIMLJENE_KOBASICE,_dry_recipe_id=MD-LANDJAGER_TRADICIONALNE_DIMLJENE_KOBASICE,4138,4138,0,6576,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2113,"VACHERIN FRIBOURGEOIS METTWURST (DIMLJENA KOBASICA S ALPSKIM SIROM)",https://drycured.com/recepti-baza/vacherin-fribourgeois-mettwurst-dimljena-kobasica-s-alpskim-sirom/,MD-VACHERIN_FRIBOURGEOIS_METTWURST_DIMLJENA_KOBASICA_S_ALPSKIM_SIROM,_dry_recipe_id=MD-VACHERIN_FRIBOURGEOIS_METTWURST_DIMLJENA_KOBASICA_S_ALPSKIM_SIROM,4251,4251,0,6763,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2115,"BRESAOLA DELLA VALTELLINA",https://drycured.com/recepti-baza/bresaola-della-valtellina/,MD-BRESAOLA_DELLA_VALTELLINA,_dry_recipe_id=MD-BRESAOLA_DELLA_VALTELLINA,3511,3511,0,9444,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2116,"COPPA PIACENTINA",https://drycured.com/recepti-baza/coppa-piacentina/,MD-COPPA_PIACENTINA,_dry_recipe_id=MD-COPPA_PIACENTINA,3777,3777,0,6027,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2353,"Pastërma (Albansko suho meso)",https://drycured.com/recepti-baza/pasterma-albansko-suho-meso/,MD-PASTERMA_ALBANSKO_SUHO_MESO,_dry_recipe_id=MD-PASTERMA_ALBANSKO_SUHO_MESO,3504,3504,0,1080,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2355,"Proshuta Shqiptare – albanska pršuta",https://drycured.com/recepti-baza/proshuta-shqiptare-albanska-prsuta/,MD-PROSHUTA_SHQIPTARE_ALBANSKA_PRSUTA,_dry_recipe_id=MD-PROSHUTA_SHQIPTARE_ALBANSKA_PRSUTA,3494,3494,0,1013,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2359,"Vorarlberger Mostbröckle – vorarlberška dimljena govedina",https://drycured.com/recepti-baza/vorarlberger-mostbrockle-vorarlberska-dimljena-govedina/,MD-VORARLBERGER_MOSTBROCKLE_VORARLBERSKA_DIMLJENA_GOVEDINA,_dry_recipe_id=MD-VORARLBERGER_MOSTBROCKLE_VORARLBERSKA_DIMLJENA_GOVEDINA,3466,3466,0,2550,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2398,"Traditionele Droge Worst (Klasična suha kobasica)",https://drycured.com/recepti-baza/traditionele-droge-worst-klasicna-suha-kobasica/,MD-TRADITIONELE_DROGE_WORST_KLASICNA_SUHA_KOBASICA,_dry_recipe_id=MD-TRADITIONELE_DROGE_WORST_KLASICNA_SUHA_KOBASICA,4004,4004,0,1204,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2399,"Rookworst (Dimljena kobasica)",https://drycured.com/recepti-baza/rookworst-dimljena-kobasica/,MD-ROOKWORST_DIMLJENA_KOBASICA,_dry_recipe_id=MD-ROOKWORST_DIMLJENA_KOBASICA,3958,3958,0,1166,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2428,"Durmitorska kastradina",https://drycured.com/recepti-baza/durmitorska-kastradina/,MD-DURMITORSKA_KASTRADINA,_dry_recipe_id=MD-DURMITORSKA_KASTRADINA,3504,3504,0,2349,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2430,"Vasojevićka preukuša",https://drycured.com/recepti-baza/vasojevicka-preukusa/,MD-VASOJEVICKA_PREUKUSA,_dry_recipe_id=MD-VASOJEVICKA_PREUKUSA,4092,4092,0,2423,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2432,"Kučka pršura",https://drycured.com/recepti-baza/kucka-prsura/,MD-KUCKA_PRSURA,_dry_recipe_id=MD-KUCKA_PRSURA,3730,3730,0,2426,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2434,"Crnogorska kobasica",https://drycured.com/recepti-baza/crnogorska-kobasica/,MD-CRNOGORSKA_KOBASICA,_dry_recipe_id=MD-CRNOGORSKA_KOBASICA,3959,3959,0,2192,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2435,"Crnogorska stelja",https://drycured.com/recepti-baza/crnogorska-stelja/,MD-CRNOGORSKA_STELJA,_dry_recipe_id=MD-CRNOGORSKA_STELJA,3453,3453,0,1853,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2440,"Splitski Maestral Narezak",https://drycured.com/recepti-baza/splitski-maestral-narezak/,MD-SPLITSKI_MAESTRAL_NAREZAK,_dry_recipe_id=MD-SPLITSKI_MAESTRAL_NAREZAK,3485,3485,0,1025,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2441,"Trogirski Zephyr",https://drycured.com/recepti-baza/trogirski-zephyr/,MD-TROGIRSKI_ZEPHYR,_dry_recipe_id=MD-TROGIRSKI_ZEPHYR,3442,3442,0,993,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2442,"Makarski Jugo Narezak",https://drycured.com/recepti-baza/makarski-jugo-narezak/,MD-MAKARSKI_JUGO_NAREZAK,_dry_recipe_id=MD-MAKARSKI_JUGO_NAREZAK,3474,3474,0,1010,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2445,"Hvarski stolen (zaboravljena delicija)",https://drycured.com/recepti-baza/hvarski-stolen-zaboravljena-delicija/,MD-HVARSKI_STOLEN_ZABORAVLJENA_DELICIJA,_dry_recipe_id=MD-HVARSKI_STOLEN_ZABORAVLJENA_DELICIJA,3461,3461,0,862,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2449,"Ribbenssteg (Danska dimljena svinjska rebra)",https://drycured.com/recepti-baza/ribbenssteg-danska-dimljena-svinjska-rebra/,MD-RIBBENSSTEG_DANSKA_DIMLJENA_SVINJSKA_REBRA,_dry_recipe_id=MD-RIBBENSSTEG_DANSKA_DIMLJENA_SVINJSKA_REBRA,3735,3735,0,2949,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2450,"Bayonneskinke (Danska zasoljena i dimljena šunka)",https://drycured.com/recepti-baza/bayonneskinke-danska-zasoljena-i-dimljena-sunka/,MD-BAYONNESKINKE_DANSKA_ZASOLJENA_I_DIMLJENA_SUNKA,_dry_recipe_id=MD-BAYONNESKINKE_DANSKA_ZASOLJENA_I_DIMLJENA_SUNKA,3729,3729,0,3249,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2456,"Spegeskinke (Danska sušena šunka)",https://drycured.com/recepti-baza/spegeskinke-danska-susena-sunka/,MD-SPEGESKINKE_DANSKA_SUSENA_SUNKA,_dry_recipe_id=MD-SPEGESKINKE_DANSKA_SUSENA_SUNKA,3551,3551,0,2854,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2458,"Crubeens (Salamurena i dimljena svinjska stopala)",https://drycured.com/recepti-baza/crubeens-salamurena-i-dimljena-svinjska-stopala/,MD-CRUBEENS_SALAMURENA_I_DIMLJENA_SVINJSKA_STOPALA,_dry_recipe_id=MD-CRUBEENS_SALAMURENA_I_DIMLJENA_SVINJSKA_STOPALA,4131,4131,0,2984,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2464,"StarohrvatskiMore-Kopno Salamet (Salama Maritima)",https://drycured.com/recepti-baza/starohrvatskimore-kopno-salamet-salama-maritima/,MD-STAROHRVATSKIMORE_KOPNO_SALAMET_SALAMA_MARITIMA,_dry_recipe_id=MD-STAROHRVATSKIMORE_KOPNO_SALAMET_SALAMA_MARITIMA,4075,4075,0,1125,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2465,"Krčki Ovčji Dimljeni Raritet",https://drycured.com/recepti-baza/krcki-ovcji-dimljeni-raritet/,MD-KRCKI_OVCJI_DIMLJENI_RARITET,_dry_recipe_id=MD-KRCKI_OVCJI_DIMLJENI_RARITET,3483,3483,0,1062,YES,NO,,,NO,1833,NO_DCV5_PROFILE
2466,"Kvarnerski Divovski Salamet",https://drycured.com/recepti-baza/kvarnerski-divovski-salamet/,MD-KVARNERSKI_DIVOVSKI_SALAMET,_dry_recipe_id=MD-KVARNERSKI_DIVOVSKI_SALAMET,3900,3900,0,1060,YES,NO,,,NO,1833,NO_DCV5_PROFILE
