ID,post_title,post_name,post_status,post_type,permalink,modified_gmt,is_preview_clone,preview_source_post_id,recipe_id,has_full_markdown,has_sections,has_verified_process,has_image_url,full_markdown_len,sections_len,verified_process_len,image_url_len
1995,"Posavska Krvavica sa Šumskim Začinima",posavska-krvavica-sa-sumskim-zacinima,private,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=1995,"2026-06-04 07:34:57",no,,MD-POSAVSKA_KRVAVICA_SA_SUMSKIM_ZACINIMA,yes,no,no,no,3437,0,0,0
1996,"Tradicionalni suhomesnati proizvodi Slavonije",tradicionalni-suhomesnati-proizvodi-slavonije,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=1996,"2026-05-09 15:47:18",no,,HR-TRADICIONALNI_SUHOMESNATI_PROIZVODI_SLAVON-0021,no,no,no,no,0,0,0,0
1997,"Etnografska studija kulinarskog naslijeđa",etnografska-studija-kulinarskog-naslijeda,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=1997,"2026-05-09 15:47:17",no,,HR-ETNOGRAFSKA_STUDIJA_KULINARSKOG_NASLIJE_A-0022,no,no,no,no,0,0,0,0
1998,"Tradicionalni suhomesnati proizvodi",tradicionalni-suhomesnati-proizvodi,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=1998,"2026-05-09 15:47:17",no,,HR-TRADICIONALNI_SUHOMESNATI_PROIZVODI-0023,no,no,no,no,0,0,0,0
1999,"Salo (Сало) - Ukrajinska slanina",salo-%d1%81%d0%b0%d0%bb%d0%be-ukrajinska-slanina,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=1999,"2026-05-09 15:47:17",no,,UA-SALO_UKRAJINSKA_SLANINA-0024,no,no,no,no,0,0,0,0
2000,"Domašnja Kovbasa (Домашня ковбаса) - Domaća kobasica",domasnja-kovbasa-%d0%b4%d0%be%d0%bc%d0%b0%d1%88%d0%bd%d1%8f-%d0%ba%d0%be%d0%b2%d0%b1%d0%b0%d1%81%d0%b0-domaca-kobasica,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2000,"2026-05-09 15:47:17",no,,UA-DOMASNJA_KOVBASA_DOMACA_KOBASICA-0025,no,no,no,no,0,0,0,0
2001,"Kholodets (Холодець) - Hladetina od mesa",kholodets-%d1%85%d0%be%d0%bb%d0%be%d0%b4%d0%b5%d1%86%d1%8c-hladetina-od-mesa,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2001,"2026-05-09 15:47:17",no,,UA-KHOLODETS_HLADETINA_OD_MESA-0027,no,no,no,no,0,0,0,0
2002,"Solonina (Солонина) - Salamurena govedina",solonina-%d1%81%d0%be%d0%bb%d0%be%d0%bd%d0%b8%d0%bd%d0%b0-salamurena-govedina,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2002,"2026-05-09 15:47:17",no,,UA-SOLONINA_SALAMURENA_GOVEDINA-0028,no,no,no,no,0,0,0,0
2003,"Shukhevychivska Kovbasa (Шухевичівська ковбаса) - Sušena kobasica s paprom",shukhevychivska-kovbasa-%d1%88%d1%83%d1%85%d0%b5%d0%b2%d0%b8%d1%87%d1%96%d0%b2%d1%81%d1%8c%d0%ba%d0%b0-%d0%ba%d0%be%d0%b2%d0%b1%d0%b0%d1%81%d0%b0-susena-kobasica-s-paprom,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2003,"2026-05-09 15:47:17",no,,UA-SHUKHEVYCHIVSKA_KOVBASA_SUSENA_KOBASICA_S_-0030,no,no,no,no,0,0,0,0
2004,"Pashtetna (Паштетна) - Pečena mesna pašteta",pashtetna-%d0%bf%d0%b0%d1%88%d1%82%d0%b5%d1%82%d0%bd%d0%b0-pecena-mesna-pasteta,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2004,"2026-05-09 15:47:17",no,,UA-PASHTETNA_PECENA_MESNA_PASTETA-0031,no,no,no,no,0,0,0,0
2005,"UJEDINJENO KRALJEVSTVO - Tradicionalni recepti",ujedinjeno-kraljevstvo-tradicionalni-recepti,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2005,"2026-05-09 15:47:17",no,,EU-UJEDINJENO_KRALJEVSTVO_TRADICIONALNI_RECEP-0051,no,no,no,no,0,0,0,0
2006,"Cumberland Sausage",cumberland-sausage,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2006,"2026-05-09 15:47:16",no,,EU-CUMBERLAND_SAUSAGE-0052,no,no,no,no,0,0,0,0
2007,"Kompleksna zbirka tradicionalnih suhomesnatih recepata iz Europe",kompleksna-zbirka-tradicionalnih-suhomesnatih-recepata-iz-europe,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2007,"2026-05-09 15:47:15",no,,GR-KOMPLEKSNA_ZBIRKA_TRADICIONALNIH_SUHOMESNA-0054,no,no,no,no,0,0,0,0
2008,"GRČKA - Tradicionalni recepti za Loukaniko",grcka-tradicionalni-recepti-za-loukaniko,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2008,"2026-05-09 15:47:16",no,,GR-GRCKA_TRADICIONALNI_RECEPTI_ZA_LOUKANIKO-0055,no,no,no,no,0,0,0,0
2009,"Tradicionalni Loukaniko sa Krete",tradicionalni-loukaniko-sa-krete,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2009,"2026-05-09 15:47:15",no,,EU-TRADICIONALNI_LOUKANIKO_SA_KRETE-0056,no,no,no,no,0,0,0,0
2010,"Makedončki Loukaniko sa Planinom",makedoncki-loukaniko-sa-planinom,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2010,"2026-05-09 15:47:15",no,,EU-MAKEDONCKI_LOUKANIKO_SA_PLANINOM-0057,no,no,no,no,0,0,0,0
2011,"Kompleksna zbirka tradicionalnih suhomesnatih recepata iz Europe",kompleksna-zbirka-tradicionalnih-suhomesnatih-recepata-iz-europe-2,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2011,"2026-05-09 15:47:15",no,,FR-KOMPLEKSNA_ZBIRKA_TRADICIONALNIH_SUHOMESNA-0061,no,no,no,no,0,0,0,0
2012,"FRANCUSKA - Tradicionalni recepti za saucisson",francuska-tradicionalni-recepti-za-saucisson,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2012,"2026-05-09 15:47:15",no,,FR-FRANCUSKA_TRADICIONALNI_RECEPTI_ZA_SAUCISS-0062,no,no,no,no,0,0,0,0
2013,"Saucisson sec iz Lyona",saucisson-sec-iz-lyona,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2013,"2026-05-09 15:47:15",no,,EU-SAUCISSON_SEC_IZ_LYONA-0063,no,no,no,no,0,0,0,0
2014,"Kompleksna zbirka tradicionalnih suhomesnatih recepata iz Europe",kompleksna-zbirka-tradicionalnih-suhomesnatih-recepata-iz-europe-3,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2014,"2026-05-09 15:47:15",no,,CZ-KOMPLEKSNA_ZBIRKA_TRADICIONALNIH_SUHOMESNA-0064,no,no,no,no,0,0,0,0
2015,"ČEŠKA - Tradicionalni recepti",ceska-tradicionalni-recepti,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2015,"2026-05-09 15:47:15",no,,CZ-CESKA_TRADICIONALNI_RECEPTI-0065,no,no,no,no,0,0,0,0
2016,"Lovecká Saláma (Lovačka salama)",lovecka-salama-lovacka-salama,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2016,"2026-06-03 07:07:29",no,,EU-LOVECKA_SALAMA-0066,no,no,no,no,0,0,0,0
2017,"Drisheen (Tradicionalna irska krvavica od ovčje krvi)",drisheen-tradicionalna-irska-krvavica-od-ovcje-krvi,private,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2017,"2026-06-04 07:34:56",no,,MD-DRISHEEN_TRADICIONALNA_IRSKA_KRVAVICA_OD_OVCJE_KRVI,yes,no,no,no,3692,0,0,0
2018,"Irska salama (Spiced Irish Salami)",irska-salama-spiced-irish-salami,publish,dry_recipe,https://drycured.com/recepti-baza/irska-salama-spiced-irish-salami/,"2026-06-04 07:53:26",no,,MD-IRSKA_SALAMA_SPICED_IRISH_SALAMI,yes,no,no,no,4359,0,0,0
2019,"Landjäger kobasice s bavarskom salatom od krumpira",landjager-kobasice-s-bavarskom-salatom-od-krumpira,private,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2019,"2026-06-04 07:34:56",no,,MD-LANDJAGER_KOBASICE_S_BAVARSKOM_SALATOM_OD_KRUMPIRA,yes,no,no,no,4165,0,0,0
2020,"Mettwurst s toplom salatom od krumpira i zelenog graha",mettwurst-s-toplom-salatom-od-krumpira-i-zelenog-graha,private,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2020,"2026-06-04 07:34:56",no,,MD-METTWURST_S_TOPLOM_SALATOM_OD_KRUMPIRA_I_ZELENOG_GRAHA,yes,no,no,no,4100,0,0,0
2021,"Cumberland kobasica",cumberland-kobasica,publish,dry_recipe,https://drycured.com/recepti-baza/cumberland-kobasica/,"2026-06-04 07:53:26",no,,MD-CUMBERLAND_KOBASICA,yes,no,no,no,4280,0,0,0
2022,"Recepti za salame i suhomesnate proizvode iz europskih zemalja",recepti-za-salame-i-suhomesnate-proizvode-iz-europskih-zemalja,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2022,"2026-05-09 15:47:13",no,,GR-RECEPTI_ZA_SALAME_I_SUHOMESNATE_PROIZVODE_-0098,no,no,no,no,0,0,0,0
2023,"?? Grčki tradicionalni recept - Loukaniko",grcki-tradicionalni-recept-loukaniko,publish,dry_recipe,https://drycured.com/recepti-baza/grcki-tradicionalni-recept-loukaniko/,"2026-06-04 07:53:27",no,,MD-GRCKI_TRADICIONALNI_RECEPT_LOUKANIKO,yes,no,no,no,3437,0,0,0
2024,"Slovački recept - Turistická Saláma",slovacki-recept-turisticka-salama,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2024,"2026-05-09 15:47:13",no,,SK-SLOVACKI_RECEPT_TURISTICKA_SALAMA-0104,no,no,no,no,0,0,0,0
2025,"Recepti za salame i suhomesnate proizvode iz evropskih zemalja",recepti-za-salame-i-suhomesnate-proizvode-iz-evropskih-zemalja,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2025,"2026-05-09 15:47:13",no,,IT-RECEPTI_ZA_SALAME_I_SUHOMESNATE_PROIZVODE_-0108,no,no,no,no,0,0,0,0
2026,"?? Španjolski recept za chorizo",spanjolski-recept-za-chorizo,publish,dry_recipe,https://drycured.com/recepti-baza/spanjolski-recept-za-chorizo/,"2026-06-04 07:53:27",no,,MD-SPANJOLSKI_RECEPT_ZA_CHORIZO,yes,no,no,no,3790,0,0,0
2027,"Nemački recept za Mettwurst",nemacki-recept-za-mettwurst,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2027,"2026-05-09 15:47:12",no,,EU-NEMACKI_RECEPT_ZA_METTWURST-0111,no,no,no,no,0,0,0,0
2028,"Češki Špekáček (Špek Kobasica)",ceski-spekacek-spek-kobasica,publish,dry_recipe,https://drycured.com/recepti-baza/ceski-spekacek-spek-kobasica/,"2026-06-04 07:53:27",no,,MD-CESKI_SPEKACEK_SPEK_KOBASICA,yes,no,no,no,4378,0,0,0
2029,"JAMBON DE BAYONNE",jambon-de-bayonne,publish,dry_recipe,https://drycured.com/recepti-baza/jambon-de-bayonne/,"2026-06-04 07:53:27",no,,MD-JAMBON_DE_BAYONNE,yes,no,no,no,3482,0,0,0
2030,"Saucisson Sec (Suha kobasica)",saucisson-sec-suha-kobasica,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2030,"2026-05-09 15:47:09",no,,FR-SAUCISSON_SEC-0127,no,no,no,no,0,0,0,0
2031,"RILLETTES DU MANS",rillettes-du-mans,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2031,"2026-05-09 15:47:09",no,,FR-RILLETTES_DU_MANS-0128,no,no,no,no,0,0,0,0
2032,"Coppa (Kapula)",coppa-kapula,publish,dry_recipe,https://drycured.com/recepti-baza/coppa-kapula/,"2026-06-04 07:53:27",no,,MD-COPPA_KAPULA,yes,no,no,no,3683,0,0,0
2033,"Andouille de Guémené",andouille-de-guemene,publish,dry_recipe,https://drycured.com/recepti-baza/andouille-de-guemene/,"2026-06-04 07:53:27",no,,MD-ANDOUILLE_DE_GUEMENE,yes,no,no,no,3761,0,0,0
2034,"JÉSUS DE LYON",jesus-de-lyon,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2034,"2026-05-09 15:47:09",no,,FR-JESUS_DE_LYON-0133,no,no,no,no,0,0,0,0
2035,"Tradicionalna irska krvavica (Black Pudding)",tradicionalna-irska-krvavica-black-pudding,private,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2035,"2026-06-04 07:34:56",no,,MD-TRADICIONALNA_IRSKA_KRVAVICA_BLACK_PUDDING,yes,no,no,no,3765,0,0,0
2036,"Irska bijela krvavica (White Pudding)",irska-bijela-krvavica-white-pudding,private,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2036,"2026-06-04 07:34:56",no,,MD-IRSKA_BIJELA_KRVAVICA_WHITE_PUDDING,yes,no,no,no,3806,0,0,0
2037,"Hangikjöt (Dimljeni janjeti but)",hangikjot-dimljeni-janjeti-but,publish,dry_recipe,https://drycured.com/recepti-baza/hangikjot-dimljeni-janjeti-but/,"2026-06-04 07:53:28",no,,MD-HANGIKJOT_DIMLJENI_JANJETI_BUT,yes,no,no,no,3564,0,0,0
2038,"Heilhornað Hangikjöt (Sušena janjeća rebra)",heilhornad-hangikjot-susena-janjeca-rebra,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2038,"2026-05-09 15:47:08",no,,IS-HEILHORNA_HANGIKJOT-0155,no,no,no,no,0,0,0,0
2039,"Ukrajinska Domashnia Kovbasa (Domaća Kobasica)",ukrajinska-domashnia-kovbasa-domaca-kobasica,publish,dry_recipe,https://drycured.com/recepti-baza/ukrajinska-domashnia-kovbasa-domaca-kobasica/,"2026-06-04 07:53:28",no,,MD-UKRAJINSKA_DOMASHNIA_KOVBASA_DOMACA_KOBASICA,yes,no,no,no,4281,0,0,0
2040,"Mađarski Pick Salami (Pick Szalámi)",madarski-pick-salami-pick-szalami,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2040,"2026-05-09 15:47:07",no,,EU-MA_ARSKI_PICK_SALAMI-0170,no,no,no,no,0,0,0,0
2041,"Mađarska Slanina (Szalonna)",madarska-slanina-szalonna,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2041,"2026-05-09 15:47:07",no,,EU-MA_ARSKA_SLANINA-0172,no,no,no,no,0,0,0,0
2042,"BALMOȘ CU SLANINĂ (PALENTA SA SLANINOM)",balmos-cu-slanina-palenta-sa-slaninom,publish,dry_recipe,https://drycured.com/recepti-baza/balmos-cu-slanina-palenta-sa-slaninom/,"2026-06-04 07:53:28",no,,MD-BALMO_CU_SLANIN_PALENTA_SA_SLANINOM,yes,no,no,no,3503,0,0,0
2043,"PFÄLZER SAUMAGEN (FALAČKA SVINJSKA ŽELUDAC-KOBASICA)",pfalzer-saumagen-falacka-svinjska-zeludac-kobasica,publish,dry_recipe,https://drycured.com/recepti-baza/pfalzer-saumagen-falacka-svinjska-zeludac-kobasica/,"2026-06-04 07:53:28",no,,MD-PFALZER_SAUMAGEN_FALACKA_SVINJSKA_ZELUDAC_KOBASICA,yes,no,no,no,4741,0,0,0
2044,"NÜRNBERGER BRATWURST (NIRNBERŠKA KOBASICA ZA PEČENJE)",nurnberger-bratwurst-nirnberska-kobasica-za-pecenje,private,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2044,"2026-06-04 07:34:56",no,,MD-NURNBERGER_BRATWURST_NIRNBERSKA_KOBASICA_ZA_PECENJE,yes,no,no,no,4572,0,0,0
2045,"Salata sa Schinkenspeck kobasicama",salata-sa-schinkenspeck-kobasicama,private,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2045,"2026-06-04 07:34:56",no,,MD-SALATA_SA_SCHINKENSPECK_KOBASICAMA,yes,no,no,no,4395,0,0,0
2046,"Rinderbeiried sendvič",rinderbeiried-sendvic,private,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2046,"2026-06-04 07:34:56",no,,MD-RINDERBEIRIED_SENDVIC,yes,no,no,no,3550,0,0,0
2047,"Domaći Bratwurst",domaci-bratwurst,publish,dry_recipe,https://drycured.com/recepti-baza/domaci-bratwurst/,"2026-06-04 07:53:29",no,,MD-DOMACI_BRATWURST,yes,no,no,no,3704,0,0,0
2048,"Domaći Leberwurst (Pašteta od jetre)",domaci-leberwurst-pasteta-od-jetre,private,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2048,"2026-06-04 07:34:56",no,,MD-DOMACI_LEBERWURST_PASTETA_OD_JETRE,yes,no,no,no,3531,0,0,0
2049,"Hausmacher Mettwurst (Domaća dimljena kobasica za mazanje)",hausmacher-mettwurst-domaca-dimljena-kobasica-za-mazanje,publish,dry_recipe,https://drycured.com/recepti-baza/hausmacher-mettwurst-domaca-dimljena-kobasica-za-mazanje/,"2026-06-04 07:53:29",no,,MD-HAUSMACHER_METTWURST_DOMACA_DIMLJENA_KOBASICA_ZA_MAZANJE,yes,no,no,no,4079,0,0,0
2050,"Secallona - Tradicionalna Katalonska Sušena Slanina",secallona-tradicionalna-katalonska-susena-slanina,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2050,"2026-05-09 15:47:05",no,,EU-SECALLONA_TRADICIONALNA_KATALONSKA_SUSENA_-0216,no,no,no,no,0,0,0,0
2051,"ŠKOTSKI LORNE SAUSAGE (ČETVRTASTI KOBASIČASTI ODREZAK)",skotski-lorne-sausage-cetvrtasti-kobasicasti-odrezak,publish,dry_recipe,https://drycured.com/recepti-baza/skotski-lorne-sausage-cetvrtasti-kobasicasti-odrezak/,"2026-06-04 07:53:30",no,,MD-SKOTSKI_LORNE_SAUSAGE_CETVRTASTI_KOBASICASTI_ODREZAK,yes,no,no,no,4267,0,0,0
2052,"Jamón Ibérico de Bellota - Iberijski Pršut od Žira",jamon-iberico-de-bellota-iberijski-prsut-od-zira,publish,dry_recipe,https://drycured.com/recepti-baza/jamon-iberico-de-bellota-iberijski-prsut-od-zira/,"2026-06-04 07:53:31",no,,MD-JAMON_IBERICO_DE_BELLOTA_IBERIJSKI_PRSUT_OD_ZIRA,yes,no,no,no,3757,0,0,0
2053,"Chorizo de Pamplona - Čorizo iz Pamplone",chorizo-de-pamplona-corizo-iz-pamplone,publish,dry_recipe,https://drycured.com/recepti-baza/chorizo-de-pamplona-corizo-iz-pamplone/,"2026-06-04 07:53:31",no,,MD-CHORIZO_DE_PAMPLONA_CORIZO_IZ_PAMPLONE,yes,no,no,no,4504,0,0,0
2054,"Sobrasada Mallorquina - Majorška Sobrasada",sobrasada-mallorquina-majorska-sobrasada,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2054,"2026-05-09 15:47:05",no,,ES-SOBRASADA_MALLORQUINA_MAJORSKA_SOBRASADA-0233,no,no,no,no,0,0,0,0
2055,"Coppa Piacentina - Piacentinska Coppa",coppa-piacentina-piacentinska-coppa,publish,dry_recipe,https://drycured.com/recepti-baza/coppa-piacentina-piacentinska-coppa/,"2026-06-04 07:53:31",no,,MD-COPPA_PIACENTINA_PIACENTINSKA_COPPA,yes,no,no,no,3950,0,0,0
2056,"Nduja Calabrese - Kalabrijska Nduja",nduja-calabrese-kalabrijska-nduja,publish,dry_recipe,https://drycured.com/recepti-baza/nduja-calabrese-kalabrijska-nduja/,"2026-06-04 07:53:31",no,,MD-NDUJA_CALABRESE_KALABRIJSKA_NDUJA,yes,no,no,no,3775,0,0,0
2057,"Bresaola Valtellinese - Valtelinska Bresaola",bresaola-valtellinese-valtelinska-bresaola,publish,dry_recipe,https://drycured.com/recepti-baza/bresaola-valtellinese-valtelinska-bresaola/,"2026-06-04 07:53:31",no,,MD-BRESAOLA_VALTELLINESE_VALTELINSKA_BRESAOLA,yes,no,no,no,3710,0,0,0
2058,"Guanciale Romano - Rimski Guanciale",guanciale-romano-rimski-guanciale,publish,dry_recipe,https://drycured.com/recepti-baza/guanciale-romano-rimski-guanciale/,"2026-06-04 07:53:31",no,,MD-GUANCIALE_ROMANO_RIMSKI_GUANCIALE,yes,no,no,no,3831,0,0,0
2059,"SALAME MILANO - MILANSKA SALAMA",salame-milano-milanska-salama,publish,dry_recipe,https://drycured.com/recepti-baza/salame-milano-milanska-salama/,"2026-06-04 07:53:31",no,,MD-SALAME_MILANO_MILANSKA_SALAMA,yes,no,no,no,4400,0,0,0
2060,"SOPPRESSATA CALABRESE - KALABRIJSKA SOPPRESSATA",soppressata-calabrese-kalabrijska-soppressata,publish,dry_recipe,https://drycured.com/recepti-baza/soppressata-calabrese-kalabrijska-soppressata/,"2026-06-04 07:53:31",no,,MD-SOPPRESSATA_CALABRESE_KALABRIJSKA_SOPPRESSATA,yes,no,no,no,4071,0,0,0
2061,"PROSCIUTTO DI PARMA - PARMSKA ŠUNKA",prosciutto-di-parma-parmska-sunka,publish,dry_recipe,https://drycured.com/recepti-baza/prosciutto-di-parma-parmska-sunka/,"2026-06-04 07:53:31",no,,MD-PROSCIUTTO_DI_PARMA_PARMSKA_SUNKA,yes,no,no,no,3344,0,0,0
2062,"PANCETTA ARROTOLATA - ROLANA PANCETA",pancetta-arrotolata-rolana-panceta,publish,dry_recipe,https://drycured.com/recepti-baza/pancetta-arrotolata-rolana-panceta/,"2026-06-04 07:53:31",no,,MD-PANCETTA_ARROTOLATA_ROLANA_PANCETA,yes,no,no,no,3816,0,0,0
2063,"FINOCCHIONA TOSCANA - TOSKANSKA KOBASICA S KOMORAČEM",finocchiona-toscana-toskanska-kobasica-s-komoracem,publish,dry_recipe,https://drycured.com/recepti-baza/finocchiona-toscana-toskanska-kobasica-s-komoracem/,"2026-06-04 07:53:31",no,,MD-FINOCCHIONA_TOSCANA_TOSKANSKA_KOBASICA_S_KOMORACEM,yes,no,no,no,4344,0,0,0
2064,"COPPA (CAPOCOLLO) - TALIJANSKA VRATINA",coppa-capocollo-talijanska-vratina,publish,dry_recipe,https://drycured.com/recepti-baza/coppa-capocollo-talijanska-vratina/,"2026-06-04 07:53:31",no,,MD-COPPA_CAPOCOLLO_TALIJANSKA_VRATINA,yes,no,no,no,3766,0,0,0
2065,"Tiroler Speck (Tirolska slanina)",tiroler-speck-tirolska-slanina,draft,dry_recipe,https://drycured.com/?post_type=dry_recipe&p=2065,"2026-05-09 15:47:03",no,,AT-TIROLER_SPECK-0261,no,no,no,no,0,0,0,0
