wp_post_id,stable_recipe_id,title,product_group,evidence_blocks_found,evidence_blocks_missing,missing_evidence_blocks,forbidden_evidence_found,editor_priority,source_sha256
2705,MD-VUKOVARSKI_FERMENTIRANI_VRAT_S_PODUNAVSKIM_ZACINIMA,Vukovarski Fermentirani Vrat s Podunavskim Začinima,CIJELI_KOMAD,7,8,origin_country_region|rubbing_submerging_coating|turning_pressing|surface_drying_rinsing|maturation|weight_loss_doneness|mistakes_solutions|safety,,HIGH,7b82ab12a682ffec64b2ce5668cb796aa37a16e05f912245db27919f892e8067
2780,MD-SLAVONSKI_PIKANTNI_VRAT,Slavonski pikantni vrat,CIJELI_KOMAD,7,8,origin_country_region|rubbing_submerging_coating|turning_pressing|surface_drying_rinsing|maturation|weight_loss_doneness|mistakes_solutions|safety,,HIGH,f39cd341accac84adb6637e0349fde375cc7418ef57ec4dbf531fdf48d91063d
2781,MD-ESENCIJALNI_SLAVONSKI_SUSENI_VRAT_S_DIVLJIM_ZACINIMA,Esencijalni slavonski sušeni vrat s divljim začinima,CIJELI_KOMAD,7,8,origin_country_region|rubbing_submerging_coating|turning_pressing|surface_drying_rinsing|smoking|maturation|mistakes_solutions|safety,,HIGH,e45536dfa8fc39766bc3ca9a1a49e61bcf361cee4c6117301e5f18d261f8c400
3027,MD-ENGADINER_HATECLETT_SUSENI_KOZJI_BUT,ENGADINER HATECLETT (SUŠENI KOZJI BUT),CIJELI_KOMAD,8,7,cure_or_brine|rubbing_submerging_coating|turning_pressing|maturation|weight_loss_doneness|mistakes_solutions|safety,grinding_granulation,HIGH,ab646a23ba2d4021946c02cc57ee2a508b2c6e136320e0202dfecc25bdc90d31
3083,MD-ELENSKI_BUT,ЕЛЕНСКИ БУТ (Elenski but),CIJELI_KOMAD,8,7,cure_or_brine|turning_pressing|smoking|maturation|weight_loss_doneness|mistakes_solutions|safety,grinding_granulation,HIGH,ef50c625a2b753e23b449050f31f14069f56a557d932edd8c598eca5e2e46cfe
3106,MD-PASTOURMA_CIPARSKI_ZACINJENI_SUSENI_GOVEDI_FILE,Pastourma (Παστουρμάς) – Ciparski začinjeni sušeni goveđi file,CIJELI_KOMAD,10,5,cure_or_brine|smoking|maturation|mistakes_solutions|safety,grinding_granulation,HIGH,6617b4556952207d8b1c88553689b8294b837045cafb6daf5ee61a8c0e37e76c
3135,MD-PASTOURMAS,Pastourmas (Παστουρμάς),CIJELI_KOMAD,10,5,turning_pressing|smoking|maturation|weight_loss_doneness|mistakes_solutions,grinding_granulation|stuffing_mixture,HIGH,f4afa71f823fb353d0da3cd3901bd0f18c4f693b2f4a9613eddaf0726201f1c1
3206,MD-BASTURMA_ZACINJENO_SUSENO_GOVEDE_MESO,Basturma (Бастурма – Začinjeno sušeno goveđe meso),CIJELI_KOMAD,10,5,origin_country_region|smoking|maturation|mistakes_solutions|safety,grinding_granulation,HIGH,4a6cc682f3c219b30b447887d9bb6256489f4bccc6cb2c480e9b528e377ca129
3208,MD-SVINAYA_VYREZKA_SUSENI_SVINJSKI_FILE,Svinaya Vyrezka (Свиная вырезка – Sušeni svinjski file),CIJELI_KOMAD,10,5,origin_country_region|cure_or_brine|turning_pressing|smoking|maturation,grinding_granulation,HIGH,e35ba541f459f3415f27ee285f192df2fadd710d19023a0835bd2fa803910d43
3216,MD-BUNDNERFLEISCH_GRAUBUNDENSKI_SUSENI_GOVEDI_BUT,BÜNDNERFLEISCH (GRAUBÜNDENSKI SUŠENI GOVEĐI BUT),CIJELI_KOMAD,9,6,cure_or_brine|rubbing_submerging_coating|maturation|weight_loss_doneness|mistakes_solutions|safety,grinding_granulation,HIGH,3b413f8bb0e79028212a3eafed5b2973cf4566766854845f5c845b428d58a73b
