post_id,title,slug,status,url,country_meta,region_meta,code_meta
2020,"Mettwurst s toplom salatom od krumpira i zelenog graha",mettwurst-s-toplom-salatom-od-krumpira-i-zelenog-graha,private,https://drycured.com/?post_type=dry_recipe&p=2020,,,MD-METTWURST_S_TOPLOM_SALATOM_OD_KRUMPIRA_I_ZELENOG_GRAHA
2021,"Cumberland kobasica",cumberland-kobasica,publish,https://drycured.com/recepti-baza/cumberland-kobasica/,,,MD-CUMBERLAND_KOBASICA
2022,"Recepti za salame i suhomesnate proizvode iz europskih zemalja",recepti-za-salame-i-suhomesnate-proizvode-iz-europskih-zemalja,draft,https://drycured.com/?post_type=dry_recipe&p=2022,,,GR-RECEPTI_ZA_SALAME_I_SUHOMESNATE_PROIZVODE_-0098
2023,"?? Grčki tradicionalni recept - Loukaniko",grcki-tradicionalni-recept-loukaniko,publish,https://drycured.com/recepti-baza/grcki-tradicionalni-recept-loukaniko/,,,MD-GRCKI_TRADICIONALNI_RECEPT_LOUKANIKO
2024,"Slovački recept - Turistická Saláma",slovacki-recept-turisticka-salama,draft,https://drycured.com/?post_type=dry_recipe&p=2024,,,SK-SLOVACKI_RECEPT_TURISTICKA_SALAMA-0104
2025,"Recepti za salame i suhomesnate proizvode iz evropskih zemalja",recepti-za-salame-i-suhomesnate-proizvode-iz-evropskih-zemalja,draft,https://drycured.com/?post_type=dry_recipe&p=2025,,,IT-RECEPTI_ZA_SALAME_I_SUHOMESNATE_PROIZVODE_-0108
2026,"?? Španjolski recept za chorizo",spanjolski-recept-za-chorizo,publish,https://drycured.com/recepti-baza/spanjolski-recept-za-chorizo/,,,MD-SPANJOLSKI_RECEPT_ZA_CHORIZO
2027,"Nemački recept za Mettwurst",nemacki-recept-za-mettwurst,draft,https://drycured.com/?post_type=dry_recipe&p=2027,,,EU-NEMACKI_RECEPT_ZA_METTWURST-0111
2028,"Češki Špekáček (Špek Kobasica)",ceski-spekacek-spek-kobasica,publish,https://drycured.com/recepti-baza/ceski-spekacek-spek-kobasica/,,,MD-CESKI_SPEKACEK_SPEK_KOBASICA
2029,"JAMBON DE BAYONNE",jambon-de-bayonne,publish,https://drycured.com/recepti-baza/jambon-de-bayonne/,,,MD-JAMBON_DE_BAYONNE
2030,"Saucisson Sec (Suha kobasica)",saucisson-sec-suha-kobasica,draft,https://drycured.com/?post_type=dry_recipe&p=2030,,,FR-SAUCISSON_SEC-0127
2031,"RILLETTES DU MANS",rillettes-du-mans,draft,https://drycured.com/?post_type=dry_recipe&p=2031,,,FR-RILLETTES_DU_MANS-0128
2032,"Coppa (Kapula)",coppa-kapula,publish,https://drycured.com/recepti-baza/coppa-kapula/,,,MD-COPPA_KAPULA
2033,"Andouille de Guémené",andouille-de-guemene,publish,https://drycured.com/recepti-baza/andouille-de-guemene/,,,MD-ANDOUILLE_DE_GUEMENE
2034,"JÉSUS DE LYON",jesus-de-lyon,draft,https://drycured.com/?post_type=dry_recipe&p=2034,,,FR-JESUS_DE_LYON-0133
2035,"Tradicionalna irska krvavica (Black Pudding)",tradicionalna-irska-krvavica-black-pudding,private,https://drycured.com/?post_type=dry_recipe&p=2035,,,MD-TRADICIONALNA_IRSKA_KRVAVICA_BLACK_PUDDING
2036,"Irska bijela krvavica (White Pudding)",irska-bijela-krvavica-white-pudding,private,https://drycured.com/?post_type=dry_recipe&p=2036,,,MD-IRSKA_BIJELA_KRVAVICA_WHITE_PUDDING
2037,"Hangikjöt (Dimljeni janjeti but)",hangikjot-dimljeni-janjeti-but,publish,https://drycured.com/recepti-baza/hangikjot-dimljeni-janjeti-but/,,,MD-HANGIKJOT_DIMLJENI_JANJETI_BUT
2038,"Heilhornað Hangikjöt (Sušena janjeća rebra)",heilhornad-hangikjot-susena-janjeca-rebra,draft,https://drycured.com/?post_type=dry_recipe&p=2038,,,IS-HEILHORNA_HANGIKJOT-0155
2039,"Ukrajinska Domashnia Kovbasa (Domaća Kobasica)",ukrajinska-domashnia-kovbasa-domaca-kobasica,publish,https://drycured.com/recepti-baza/ukrajinska-domashnia-kovbasa-domaca-kobasica/,,,MD-UKRAJINSKA_DOMASHNIA_KOVBASA_DOMACA_KOBASICA
2040,"Mađarski Pick Salami (Pick Szalámi)",madarski-pick-salami-pick-szalami,draft,https://drycured.com/?post_type=dry_recipe&p=2040,,,EU-MA_ARSKI_PICK_SALAMI-0170
2041,"Mađarska Slanina (Szalonna)",madarska-slanina-szalonna,draft,https://drycured.com/?post_type=dry_recipe&p=2041,,,EU-MA_ARSKA_SLANINA-0172
2042,"BALMOȘ CU SLANINĂ (PALENTA SA SLANINOM)",balmos-cu-slanina-palenta-sa-slaninom,publish,https://drycured.com/recepti-baza/balmos-cu-slanina-palenta-sa-slaninom/,,,MD-BALMO_CU_SLANIN_PALENTA_SA_SLANINOM
2043,"PFÄLZER SAUMAGEN (FALAČKA SVINJSKA ŽELUDAC-KOBASICA)",pfalzer-saumagen-falacka-svinjska-zeludac-kobasica,publish,https://drycured.com/recepti-baza/pfalzer-saumagen-falacka-svinjska-zeludac-kobasica/,,,MD-PFALZER_SAUMAGEN_FALACKA_SVINJSKA_ZELUDAC_KOBASICA
2044,"NÜRNBERGER BRATWURST (NIRNBERŠKA KOBASICA ZA PEČENJE)",nurnberger-bratwurst-nirnberska-kobasica-za-pecenje,private,https://drycured.com/?post_type=dry_recipe&p=2044,,,MD-NURNBERGER_BRATWURST_NIRNBERSKA_KOBASICA_ZA_PECENJE
2045,"Salata sa Schinkenspeck kobasicama",salata-sa-schinkenspeck-kobasicama,private,https://drycured.com/?post_type=dry_recipe&p=2045,,,MD-SALATA_SA_SCHINKENSPECK_KOBASICAMA
2046,"Rinderbeiried sendvič",rinderbeiried-sendvic,private,https://drycured.com/?post_type=dry_recipe&p=2046,,,MD-RINDERBEIRIED_SENDVIC
2047,"Domaći Bratwurst",domaci-bratwurst,publish,https://drycured.com/recepti-baza/domaci-bratwurst/,,,MD-DOMACI_BRATWURST
2048,"Domaći Leberwurst (Pašteta od jetre)",domaci-leberwurst-pasteta-od-jetre,private,https://drycured.com/?post_type=dry_recipe&p=2048,,,MD-DOMACI_LEBERWURST_PASTETA_OD_JETRE
2049,"Hausmacher Mettwurst (Domaća dimljena kobasica za mazanje)",hausmacher-mettwurst-domaca-dimljena-kobasica-za-mazanje,publish,https://drycured.com/recepti-baza/hausmacher-mettwurst-domaca-dimljena-kobasica-za-mazanje/,,,MD-HAUSMACHER_METTWURST_DOMACA_DIMLJENA_KOBASICA_ZA_MAZANJE
2050,"Secallona - Tradicionalna Katalonska Sušena Slanina",secallona-tradicionalna-katalonska-susena-slanina,draft,https://drycured.com/?post_type=dry_recipe&p=2050,,,EU-SECALLONA_TRADICIONALNA_KATALONSKA_SUSENA_-0216
2051,"ŠKOTSKI LORNE SAUSAGE (ČETVRTASTI KOBASIČASTI ODREZAK)",skotski-lorne-sausage-cetvrtasti-kobasicasti-odrezak,publish,https://drycured.com/recepti-baza/skotski-lorne-sausage-cetvrtasti-kobasicasti-odrezak/,,,MD-SKOTSKI_LORNE_SAUSAGE_CETVRTASTI_KOBASICASTI_ODREZAK
2052,"Jamón Ibérico de Bellota - Iberijski Pršut od Žira",jamon-iberico-de-bellota-iberijski-prsut-od-zira,publish,https://drycured.com/recepti-baza/jamon-iberico-de-bellota-iberijski-prsut-od-zira/,,,MD-JAMON_IBERICO_DE_BELLOTA_IBERIJSKI_PRSUT_OD_ZIRA
2053,"Chorizo de Pamplona - Čorizo iz Pamplone",chorizo-de-pamplona-corizo-iz-pamplone,publish,https://drycured.com/recepti-baza/chorizo-de-pamplona-corizo-iz-pamplone/,,,MD-CHORIZO_DE_PAMPLONA_CORIZO_IZ_PAMPLONE
2054,"Sobrasada Mallorquina - Majorška Sobrasada",sobrasada-mallorquina-majorska-sobrasada,draft,https://drycured.com/?post_type=dry_recipe&p=2054,,,ES-SOBRASADA_MALLORQUINA_MAJORSKA_SOBRASADA-0233
2055,"Coppa Piacentina - Piacentinska Coppa",coppa-piacentina-piacentinska-coppa,publish,https://drycured.com/recepti-baza/coppa-piacentina-piacentinska-coppa/,,,MD-COPPA_PIACENTINA_PIACENTINSKA_COPPA
2056,"Nduja Calabrese - Kalabrijska Nduja",nduja-calabrese-kalabrijska-nduja,publish,https://drycured.com/recepti-baza/nduja-calabrese-kalabrijska-nduja/,,,MD-NDUJA_CALABRESE_KALABRIJSKA_NDUJA
2057,"Bresaola Valtellinese - Valtelinska Bresaola",bresaola-valtellinese-valtelinska-bresaola,publish,https://drycured.com/recepti-baza/bresaola-valtellinese-valtelinska-bresaola/,,,MD-BRESAOLA_VALTELLINESE_VALTELINSKA_BRESAOLA
2058,"Guanciale Romano - Rimski Guanciale",guanciale-romano-rimski-guanciale,publish,https://drycured.com/recepti-baza/guanciale-romano-rimski-guanciale/,,,MD-GUANCIALE_ROMANO_RIMSKI_GUANCIALE
2059,"SALAME MILANO - MILANSKA SALAMA",salame-milano-milanska-salama,publish,https://drycured.com/recepti-baza/salame-milano-milanska-salama/,,,MD-SALAME_MILANO_MILANSKA_SALAMA
2060,"SOPPRESSATA CALABRESE - KALABRIJSKA SOPPRESSATA",soppressata-calabrese-kalabrijska-soppressata,publish,https://drycured.com/recepti-baza/soppressata-calabrese-kalabrijska-soppressata/,,,MD-SOPPRESSATA_CALABRESE_KALABRIJSKA_SOPPRESSATA
2061,"PROSCIUTTO DI PARMA - PARMSKA ŠUNKA",prosciutto-di-parma-parmska-sunka,publish,https://drycured.com/recepti-baza/prosciutto-di-parma-parmska-sunka/,,,MD-PROSCIUTTO_DI_PARMA_PARMSKA_SUNKA
2062,"PANCETTA ARROTOLATA - ROLANA PANCETA",pancetta-arrotolata-rolana-panceta,publish,https://drycured.com/recepti-baza/pancetta-arrotolata-rolana-panceta/,,,MD-PANCETTA_ARROTOLATA_ROLANA_PANCETA
2063,"FINOCCHIONA TOSCANA - TOSKANSKA KOBASICA S KOMORAČEM",finocchiona-toscana-toskanska-kobasica-s-komoracem,publish,https://drycured.com/recepti-baza/finocchiona-toscana-toskanska-kobasica-s-komoracem/,,,MD-FINOCCHIONA_TOSCANA_TOSKANSKA_KOBASICA_S_KOMORACEM
2064,"COPPA (CAPOCOLLO) - TALIJANSKA VRATINA",coppa-capocollo-talijanska-vratina,publish,https://drycured.com/recepti-baza/coppa-capocollo-talijanska-vratina/,,,MD-COPPA_CAPOCOLLO_TALIJANSKA_VRATINA
2065,"Tiroler Speck (Tirolska slanina)",tiroler-speck-tirolska-slanina,draft,https://drycured.com/?post_type=dry_recipe&p=2065,,,AT-TIROLER_SPECK-0261
2066,"Kärntner Wurzelspeck (Koruška korijenska slanina)",karntner-wurzelspeck-koruska-korijenska-slanina,draft,https://drycured.com/?post_type=dry_recipe&p=2066,,,AT-KARNTNER_WURZELSPECK-0262
2067,"Waldviertler Hirschsalami (Salama od jelena iz Waldviertela)",waldviertler-hirschsalami-salama-od-jelena-iz-waldviertela,draft,https://drycured.com/?post_type=dry_recipe&p=2067,,,AT-WALDVIERTLER_HIRSCHSALAMI-0264
2068,"SAUCISSON D'ARDENNE (ARDENSKI KULEN)",saucisson-dardenne-ardenski-kulen,draft,https://drycured.com/?post_type=dry_recipe&p=2068,,,BE-SAUCISSON_D_ARDENNE-0270
2069,"LARD FUMÉ DE FLANDRE (FLAMANSKO DIMLJENO SALO)",lard-fume-de-flandre-flamansko-dimljeno-salo,draft,https://drycured.com/?post_type=dry_recipe&p=2069,,,BE-LARD_FUME_DE_FLANDRE-0272
2070,"BOUDIN BLANC DE BRUXELLES (BIJELA KRVAVICA IZ BRUXELLESA)",boudin-blanc-de-bruxelles-bijela-krvavica-iz-bruxellesa,draft,https://drycured.com/?post_type=dry_recipe&p=2070,,,BE-BOUDIN_BLANC_DE_BRUXELLES-0275
2071,"Butifarra Blanca - Tradicionalna Bijela Katalonska Kobasica",butifarra-blanca-tradicionalna-bijela-katalonska-kobasica,draft,https://drycured.com/?post_type=dry_recipe&p=2071,,,EU-BUTIFARRA_BLANCA_TRADICIONALNA_BIJELA_KATA-0292
2072,"Njeguški pršut",njeguski-prsut,publish,https://drycured.com/recepti-baza/njeguski-prsut/,,,MD-NJEGUSKI_PRSUT
2073,"Kistanje Začinjena Panceta (Specifični sušeni vrat)",kistanje-zacinjena-panceta-specificni-suseni-vrat,private,https://drycured.com/?post_type=dry_recipe&p=2073,,,MD-KISTANJE_ZACINJENA_PANCETA_SPECIFICNI_SUSENI_VRAT
2074,"Petrovo Polje Začinska Slanina (Specifični začinjeni komad)",petrovo-polje-zacinska-slanina-specificni-zacinjeni-komad,private,https://drycured.com/?post_type=dry_recipe&p=2074,,,MD-PETROVO_POLJE_ZACINSKA_SLANINA_SPECIFICNI_ZACINJENI_KOMAD
2075,"Vrgorački kulen iz zaboravljenih recepata",vrgoracki-kulen-iz-zaboravljenih-recepata,publish,https://drycured.com/recepti-baza/vrgoracki-kulen-iz-zaboravljenih-recepata/,,,MD-VRGORACKI_KULEN_IZ_ZABORAVLJENIH_RECEPATA
2076,"Senjska Morska Panceta ""Bura Intenzitet""",senjska-morska-panceta-bura-intenzitet,publish,https://drycured.com/recepti-baza/senjska-morska-panceta-bura-intenzitet/,,,MD-SENJSKA_MORSKA_PANCETA_BURA_INTENZITET
2077,"SAUCISSON SEC D'AUVERGNE",saucisson-sec-dauvergne,draft,https://drycured.com/?post_type=dry_recipe&p=2077,,,FR-SAUCISSON_SEC_D_AUVERGNE-0338
2078,"ANDOUILLE DE VIRE",andouille-de-vire,publish,https://drycured.com/recepti-baza/andouille-de-vire/,,,MD-ANDOUILLE_DE_VIRE
2079,"COPPA CORSE",coppa-corse,publish,https://drycured.com/recepti-baza/coppa-corse/,,,MD-COPPA_CORSE
2080,"SAUCISSE DE MORTEAU",saucisse-de-morteau,publish,https://drycured.com/recepti-baza/saucisse-de-morteau/,,,MD-SAUCISSE_DE_MORTEAU
2081,"PÂTÉ DE CAMPAGNE BRETON",pate-de-campagne-breton,private,https://drycured.com/?post_type=dry_recipe&p=2081,,,MD-PATE_DE_CAMPAGNE_BRETON
2082,"Loukaniko (Λουκάνικο)",loukaniko-%ce%bb%ce%bf%cf%85%ce%ba%ce%ac%ce%bd%ce%b9%ce%ba%ce%bf,draft,https://drycured.com/?post_type=dry_recipe&p=2082,,,GR-LOUKANIKO-0346
2083,"Gračac Začinjena Panceta (Specifični sušeni vrat)",gracac-zacinjena-panceta-specificni-suseni-vrat,private,https://drycured.com/?post_type=dry_recipe&p=2083,,,MD-GRACAC_ZACINJENA_PANCETA_SPECIFICNI_SUSENI_VRAT
2084,"Plitvice Začinska Slanina (Specifični začinjeni komad)",plitvice-zacinska-slanina-specificni-zacinjeni-komad,private,https://drycured.com/?post_type=dry_recipe&p=2084,,,MD-PLITVICE_ZACINSKA_SLANINA_SPECIFICNI_ZACINJENI_KOMAD
2085,"Maltežanska panceta (Pancetta Maltija)",maltezanska-panceta-pancetta-maltija,draft,https://drycured.com/?post_type=dry_recipe&p=2085,,,MT-MALTEZANSKA_PANCETA-0374
2086,"Prekomurska Slaninska Rolada ""Trnčova""",prekomurska-slaninska-rolada-trncova,publish,https://drycured.com/recepti-baza/prekomurska-slaninska-rolada-trncova/,,,MD-PREKOMURSKA_SLANINSKA_ROLADA_TRNCOVA
2087,"Podravska Krvavica",podravska-krvavica,private,https://drycured.com/?post_type=dry_recipe&p=2087,,,MD-PODRAVSKA_KRVAVICA
2088,"Koprivnička Kulen",koprivnicka-kulen,publish,https://drycured.com/recepti-baza/koprivnicka-kulen/,,,MD-KOPRIVNICKA_KULEN
2089,"KABANOSY (TANKE SUHE KOBASICE)",kabanosy-tanke-suhe-kobasice,publish,https://drycured.com/recepti-baza/kabanosy-tanke-suhe-kobasice/,,,MD-KABANOSY_TANKE_SUHE_KOBASICE
2090,"KASZANKA (POLJSKA KRVAVICA)",kaszanka-poljska-krvavica,private,https://drycured.com/?post_type=dry_recipe&p=2090,,,MD-KASZANKA_POLJSKA_KRVAVICA
2091,"Morcela de Assar (Krvavica za Pečenje)",morcela-de-assar-krvavica-za-pecenje,private,https://drycured.com/?post_type=dry_recipe&p=2091,,,MD-MORCELA_DE_ASSAR_KRVAVICA_ZA_PECENJE
2092,"Crikvenička Panceta",crikvenicka-panceta,publish,https://drycured.com/recepti-baza/crikvenicka-panceta/,,,MD-CRIKVENICKA_PANCETA
2093,"Stara Koprivnička Salama ""Šokačka Priča""",stara-koprivnicka-salama-sokacka-prica,publish,https://drycured.com/recepti-baza/stara-koprivnicka-salama-sokacka-prica/,,,MD-STARA_KOPRIVNICKA_SALAMA_SOKACKA_PRICA
2094,"Pitomački ""Divlji Kulen""",pitomacki-divlji-kulen,publish,https://drycured.com/recepti-baza/pitomacki-divlji-kulen/,,,MD-PITOMACKI_DIVLJI_KULEN
2095,"Posebne tehnike i napomene",posebne-tehnike-i-napomene,draft,https://drycured.com/?post_type=dry_recipe&p=2095,,,RO-POSEBNE_TEHNIKE_I_NAPOMENE-0448
2096,"SLĂNINĂ AFUMATĂ (Dimljena slanina)",slanina-afumata-dimljena-slanina,publish,https://drycured.com/recepti-baza/slanina-afumata-dimljena-slanina/,,,MD-SL_NIN_AFUMAT_DIMLJENA_SLANINA
2097,"CHIȘCĂ (Puhana želuca s krvlju)",chisca-puhana-zeluca-s-krvlju,publish,https://drycured.com/recepti-baza/chisca-puhana-zeluca-s-krvlju/,,,MD-CHI_C_PUHANA_ZELUCA_S_KRVLJU
2098,"Novih Ruskih Recepata za Suhomesnate Proizvode",novih-ruskih-recepata-za-suhomesnate-proizvode,draft,https://drycured.com/?post_type=dry_recipe&p=2098,,,EU-NOVIH_RUSKIH_RECEPATA_ZA_SUHOMESNATE_PROIZ-0456
2099,"Salo (Сало - Slana svinjeća slanina)",salo-%d1%81%d0%b0%d0%bb%d0%be-slana-svinjeca-slanina,draft,https://drycured.com/?post_type=dry_recipe&p=2099,,,EU-SALO-0457
