post_id,title,slug,status,url,recipe_id,hr_score,type_guess,priority,needs_work_score,has_sections,has_verified_process,has_full_markdown,has_image,source_status,country_hits,region_hits,product_hits,dossier_hints
2781,"Esencijalni slavonski sušeni vrat s divljim začinima",esencijalni-slavonski-suseni-vrat-s-divljim-zacinima,publish,https://drycured.com/recepti-baza/esencijalni-slavonski-suseni-vrat-s-divljim-zacinima/,MD-ESENCIJALNI_SLAVONSKI_SUSENI_VRAT_S_DIVLJIM_ZACINIMA,10,THERMAL_PROCESSED,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,,"slavonski; lika","sušeni vrat",
2043,"PFÄLZER SAUMAGEN (FALAČKA SVINJSKA ŽELUDAC-KOBASICA)",pfalzer-saumagen-falacka-svinjska-zeludac-kobasica,publish,https://drycured.com/recepti-baza/pfalzer-saumagen-falacka-svinjska-zeludac-kobasica/,MD-PFALZER_SAUMAGEN_FALACKA_SVINJSKA_ZELUDAC_KOBASICA,9,THERMAL_PROCESSED,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,hrvatska,,slanina,
2100,"Miholjačka Začinska Salama",miholjacka-zacinska-salama,publish,https://drycured.com/recepti-baza/miholjacka-zacinska-salama/,MD-MIHOLJACKA_ZACINSKA_SALAMA,9,THERMAL_PROCESSED,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,hrvatska,,kulen,
2108,"Tolminska salama",tolminska-salama,publish,https://drycured.com/recepti-baza/tolminska-salama/,MD-TOLMINSKA_SALAMA,9,THERMAL_PROCESSED,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,hrvatska,,kulen,
2549,"Suxhuk me Spec (Sudžuk s paprikom)",suxhuk-me-spec-sudzuk-s-paprikom,publish,https://drycured.com/recepti-baza/suxhuk-me-spec-sudzuk-s-paprikom/,MD-SUXHUK_ME_SPEC_SUDZUK_S_PAPRIKOM,9,THERMAL_PROCESSED,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,hrvatska,,kulen,
2624,"Paio Alentejano (Alentejanska kobasica)",paio-alentejano-alentejanska-kobasica,publish,https://drycured.com/recepti-baza/paio-alentejano-alentejanska-kobasica/,MD-PAIO_ALENTEJANO_ALENTEJANSKA_KOBASICA,9,FISH_OR_SEAFOOD,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,hrvatska,,kulen,
2664,"BABIC (Tradicionalna babić kobasica)",babic-tradicionalna-babic-kobasica,publish,https://drycured.com/recepti-baza/babic-tradicionalna-babic-kobasica/,MD-BABIC_TRADICIONALNA_BABIC_KOBASICA,9,FISH_OR_SEAFOOD,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,hrvatska,,kulen,
3162,"Ossenworst (Goveđa sirova kobasica)",ossenworst-govea-sirova-kobasica,publish,https://drycured.com/recepti-baza/ossenworst-govea-sirova-kobasica/,MD-OSSENWORST_GOVEDA_SIROVA_KOBASICA,9,THERMAL_PROCESSED,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,hrvatska,,kulen,
3229,"Domašnja Kovbasa (Домашня ковбаса) - Domaća kobasica",domasnja-kovbasa-domaca-kobasica,publish,https://drycured.com/recepti-baza/domasnja-kovbasa-domaca-kobasica/,MD-DOMASNJA_KOVBASA_DOMACA_KOBASICA,9,FISH_OR_SEAFOOD,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,hrvatska,,"domaća kobasica",
3233,"Češnjovke 1.2021 – domaća varijanta",e-njovke-1-2021-doma-a-varijanta,publish,https://drycured.com/recepti-baza/e-njovke-1-2021-doma-a-varijanta/,NEW-CESNJOVKE-2021,9,THERMAL_PROCESSED,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,hrvatska,,slanina,
3234,"Kranjska 1.2021 – domaća varijanta",kranjska-1-2021-doma-a-varijanta,publish,https://drycured.com/recepti-baza/kranjska-1-2021-doma-a-varijanta/,NEW-KRANJSKA-2021,9,THERMAL_PROCESSED,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,hrvatska,,slanina,
2106,"Gorenjska zaseka",gorenjska-zaseka,publish,https://drycured.com/recepti-baza/gorenjska-zaseka/,MD-GORENJSKA_ZASEKA,8,THERMAL_PROCESSED,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,hrvatska,lika,,
2474,"Tradicionalna engleska šunka (Wiltshire Ham)",tradicionalna-engleska-sunka-wiltshire-ham,publish,https://drycured.com/recepti-baza/tradicionalna-engleska-sunka-wiltshire-ham/,MD-TRADICIONALNA_ENGLESKA_SUNKA_WILTSHIRE_HAM,8,THERMAL_PROCESSED,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,hrvatska,lika,,
2530,"Irska šunka u pivu (Beer-Cured Ham)",irska-sunka-u-pivu-beer-cured-ham,publish,https://drycured.com/recepti-baza/irska-sunka-u-pivu-beer-cured-ham/,MD-IRSKA_SUNKA_U_PIVU_BEER_CURED_HAM,8,FISH_OR_SEAFOOD,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,hrvatska,lika,,
2598,"SPEKESKINKE (NORŠKA PRŠUTA)",spekeskinke-norska-prsuta,publish,https://drycured.com/recepti-baza/spekeskinke-norska-prsuta/,MD-SPEKESKINKE_NORSKA_PRSUTA,8,FISH_OR_SEAFOOD,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,hrvatska,lika,,
2603,"Vinkovački Aromatični Začinski Špek",vinkovacki-aromaticni-zacinski-spek,publish,https://drycured.com/recepti-baza/vinkovacki-aromaticni-zacinski-spek/,MD-VINKOVACKI_AROMATICNI_ZACINSKI_SPEK,8,FISH_OR_SEAFOOD,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,hrvatska,lika,,
2633,"Senjska Šunka",senjska-sunka,publish,https://drycured.com/recepti-baza/senjska-sunka/,MD-SENJSKA_SUNKA,8,FISH_OR_SEAFOOD,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,hrvatska,lika,,
2693,"Osječki Začinski Špek",osjecki-zacinski-spek,publish,https://drycured.com/recepti-baza/osjecki-zacinski-spek/,MD-OSJECKI_ZACINSKI_SPEK,8,FISH_OR_SEAFOOD,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,hrvatska,lika,,
2702,"Baranjski Začinski Špek s Pustara Začinima",baranjski-zacinski-spek-s-pustara-zacinima,publish,https://drycured.com/recepti-baza/baranjski-zacinski-spek-s-pustara-zacinima/,MD-BARANJSKI_ZACINSKI_SPEK_S_PUSTARA_ZACINIMA,8,FISH_OR_SEAFOOD,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,hrvatska,lika,,
2704,"Osječko-Baranjski Ljuti Špek s Divljim Travama",osjecko-baranjski-ljuti-spek-s-divljim-travama,publish,https://drycured.com/recepti-baza/osjecko-baranjski-ljuti-spek-s-divljim-travama/,MD-OSJECKO_BARANJSKI_LJUTI_SPEK_S_DIVLJIM_TRAVAMA,8,THERMAL_PROCESSED,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,hrvatska,lika,,
3122,"Potted Beef (konzervirano goveđe meso)",potted-beef-konzervirano-govee-meso,publish,https://drycured.com/recepti-baza/potted-beef-konzervirano-govee-meso/,MD-POTTED_BEEF_KONZERVIRANO_GOVEDE_MESO,8,FISH_OR_SEAFOOD,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,hrvatska,lika,,
3163,"MOSTBRÖCKLI (ALPSKA SUŠENA GOVEDINA)",mostbrockli-alpska-susena-govedina,publish,https://drycured.com/recepti-baza/mostbrockli-alpska-susena-govedina/,MD-MOSTBROCKLI_ALPSKA_SUSENA_GOVEDINA,8,THERMAL_PROCESSED,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,hrvatska,lika,,
3164,"HOLSTEINER KATENSCHINKEN (HOLŠTAJNSKA DIMLJENA ŠUNKA)",holsteiner-katenschinken-holstajnska-dimljena-sunka,publish,https://drycured.com/recepti-baza/holsteiner-katenschinken-holstajnska-dimljena-sunka/,MD-HOLSTEINER_KATENSCHINKEN_HOLSTAJNSKA_DIMLJENA_SUNKA,8,THERMAL_PROCESSED,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,hrvatska,lika,,
3172,"ELGKJØTT SPEKEMAT (SUHO MESO LOSA)",elgkjtt-spekemat-suho-meso-losa,publish,https://drycured.com/recepti-baza/elgkjtt-spekemat-suho-meso-losa/,MD-ELGKJ_TT_SPEKEMAT_SUHO_MESO_LOSA,8,FISH_OR_SEAFOOD,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,hrvatska,lika,,
3232,"Solonina (Солонина) - Salamurena govedina",solonina-salamurena-govedina,publish,https://drycured.com/recepti-baza/solonina-salamurena-govedina/,MD-SOLONINA_SALAMURENA_GOVEDINA,8,THERMAL_PROCESSED,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,hrvatska,lika,,
2047,"Domaći Bratwurst",domaci-bratwurst,publish,https://drycured.com/recepti-baza/domaci-bratwurst/,MD-DOMACI_BRATWURST,7,THERMAL_PROCESSED,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,,lika,slanina,
2056,"Nduja Calabrese - Kalabrijska Nduja",nduja-calabrese-kalabrijska-nduja,publish,https://drycured.com/recepti-baza/nduja-calabrese-kalabrijska-nduja/,MD-NDUJA_CALABRESE_KALABRIJSKA_NDUJA,7,FISH_OR_SEAFOOD,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,,lika,slanina,
2086,"Prekomurska Slaninska Rolada ""Trnčova""",prekomurska-slaninska-rolada-trncova,publish,https://drycured.com/recepti-baza/prekomurska-slaninska-rolada-trncova/,MD-PREKOMURSKA_SLANINSKA_ROLADA_TRNCOVA,7,THERMAL_PROCESSED,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,,lika,slanina,
2096,"SLĂNINĂ AFUMATĂ (Dimljena slanina)",slanina-afumata-dimljena-slanina,publish,https://drycured.com/recepti-baza/slanina-afumata-dimljena-slanina/,MD-SL_NIN_AFUMAT_DIMLJENA_SLANINA,7,FISH_OR_SEAFOOD,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,,lika,slanina,
2102,"Slovačka slanina (Slovenská slanina)",slovacka-slanina-slovenska-slanina,publish,https://drycured.com/recepti-baza/slovacka-slanina-slovenska-slanina/,MD-SLOVACKA_SLANINA_SLOVENSKA_SLANINA,7,THERMAL_PROCESSED,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,,lika,slanina,
2107,"Vipavska panceta",vipavska-panceta,publish,https://drycured.com/recepti-baza/vipavska-panceta/,MD-VIPAVSKA_PANCETA,7,FISH_OR_SEAFOOD,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,,lika,panceta,
2525,"Dulse and Yellowman Bacon (Slanina s morskom travom)",dulse-and-yellowman-bacon-slanina-s-morskom-travom,publish,https://drycured.com/recepti-baza/dulse-and-yellowman-bacon-slanina-s-morskom-travom/,MD-DULSE_AND_YELLOWMAN_BACON_SLANINA_S_MORSKOM_TRAVOM,7,FISH_OR_SEAFOOD,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,,lika,slanina,
2555,"Lašiniai (litavska slanina)",lasiniai-litavska-slanina,publish,https://drycured.com/recepti-baza/lasiniai-litavska-slanina/,MD-LASINIAI_LITAVSKA_SLANINA,7,THERMAL_PROCESSED,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,,lika,slanina,
2579,"Spekdikken (Slanina s medom)",spekdikken-slanina-s-medom,publish,https://drycured.com/recepti-baza/spekdikken-slanina-s-medom/,MD-SPEKDIKKEN_SLANINA_S_MEDOM,7,THERMAL_PROCESSED,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,,lika,slanina,
2606,"Požeški Aromatični Sušeni Vrat s Divljim Travkama",pozeski-aromaticni-suseni-vrat-s-divljim-travkama,publish,https://drycured.com/recepti-baza/pozeski-aromaticni-suseni-vrat-s-divljim-travkama/,MD-POZESKI_AROMATICNI_SUSENI_VRAT_S_DIVLJIM_TRAVKAMA,7,THERMAL_PROCESSED,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,,lika,"sušeni vrat",
2621,"BOCZEK WĘDZONY (DIMLJENA SLANINA)",boczek-wedzony-dimljena-slanina,publish,https://drycured.com/recepti-baza/boczek-wedzony-dimljena-slanina/,MD-BOCZEK_W_DZONY_DIMLJENA_SLANINA,7,THERMAL_PROCESSED,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,,lika,slanina,
2736,"GLARNER KALBERWURST (TELEĆA KOBASICA IZ GLARUSA)",glarner-kalberwurst-teleca-kobasica-iz-glarusa,publish,https://drycured.com/recepti-baza/glarner-kalberwurst-teleca-kobasica-iz-glarusa/,MD-GLARNER_KALBERWURST_TELECA_KOBASICA_IZ_GLARUSA,7,FISH_OR_SEAFOOD,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,,banija,kulen,
3154,"Lašiniai (Tradicionalna litavska slanina)",lasiniai-tradicionalna-litavska-slanina,publish,https://drycured.com/recepti-baza/lasiniai-tradicionalna-litavska-slanina/,MD-LASINIAI_TRADICIONALNA_LITAVSKA_SLANINA,7,THERMAL_PROCESSED,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,,lika,slanina,
3158,"Mađarska Slanina (Szalonna)",maarska-slanina-szalonna,publish,https://drycured.com/recepti-baza/maarska-slanina-szalonna/,MD-MADARSKA_SLANINA_SZALONNA,7,THERMAL_PROCESSED,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,,lika,slanina,
3206,"Basturma (Бастурма - Začinjeno sušeno goveđe meso)",basturma-zacinjeno-suseno-govee-meso,publish,https://drycured.com/recepti-baza/basturma-zacinjeno-suseno-govee-meso/,MD-BASTURMA_ZACINJENO_SUSENO_GOVEDE_MESO,7,THERMAL_PROCESSED,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,,lika,pečenica,
3228,"Salo (Сало) - Ukrajinska slanina",salo-ukrajinska-slanina,publish,https://drycured.com/recepti-baza/salo-ukrajinska-slanina/,MD-SALO_UKRAJINSKA_SLANINA,7,FISH_OR_SEAFOOD,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,,lika,slanina,
2353,"Pastërma (Albansko suho meso)",pasterma-albansko-suho-meso,publish,https://drycured.com/recepti-baza/pasterma-albansko-suho-meso/,MD-PASTERMA_ALBANSKO_SUHO_MESO,6,THERMAL_PROCESSED,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,,"lika; banija",,
2355,"Proshuta Shqiptare – albanska pršuta",proshuta-shqiptare-albanska-prsuta,publish,https://drycured.com/recepti-baza/proshuta-shqiptare-albanska-prsuta/,MD-PROSHUTA_SHQIPTARE_ALBANSKA_PRSUTA,6,THERMAL_PROCESSED,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,,"lika; banija",,
2445,"Hvarski stolen (zaboravljena delicija)",hvarski-stolen-zaboravljena-delicija,publish,https://drycured.com/recepti-baza/hvarski-stolen-zaboravljena-delicija/,MD-HVARSKI_STOLEN_ZABORAVLJENA_DELICIJA,6,FISH_OR_SEAFOOD,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,,"lika; hvar",,
2466,"Kvarnerski Divovski Salamet",kvarnerski-divovski-salamet,publish,https://drycured.com/recepti-baza/kvarnerski-divovski-salamet/,MD-KVARNERSKI_DIVOVSKI_SALAMET,6,FISH_OR_SEAFOOD,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,,"lika; kvarner",,
2779,"Slavonski cviček (suhomesnati narez)",slavonski-cvicek-suhomesnati-narez,publish,https://drycured.com/recepti-baza/slavonski-cvicek-suhomesnati-narez/,MD-SLAVONSKI_CVICEK_SUHOMESNATI_NAREZ,6,THERMAL_PROCESSED,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,,"slavonski; lika",,
2780,"Slavonski pikantni vrat",slavonski-pikantni-vrat,publish,https://drycured.com/recepti-baza/slavonski-pikantni-vrat/,MD-SLAVONSKI_PIKANTNI_VRAT,6,THERMAL_PROCESSED,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,,"slavonski; lika",,
3156,"Lički Planinarski Navršak",licki-planinarski-navrsak,publish,https://drycured.com/recepti-baza/licki-planinarski-navrsak/,MD-LICKI_PLANINARSKI_NAVRSAK,6,THERMAL_PROCESSED,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,,"lika; lički",,
3200,"Podravski ""Zaboravljeni Vrbovec""",podravski-zaboravljeni-vrbovec,publish,https://drycured.com/recepti-baza/podravski-zaboravljeni-vrbovec/,MD-PODRAVSKI_ZABORAVLJENI_VRBOVEC,6,FISH_OR_SEAFOOD,HIGH_PUBLIC_NEEDS_STRUCTURE,9,no,no,yes,no,,,"lika; podravski",,
3028,"ZUGER HIRSCHTROCKENWURST (KOBASICA OD JELENA IZ ZUGA)",zuger-hirschtrockenwurst-kobasica-od-jelena-iz-zuga-2,publish,https://drycured.com/recepti-baza/zuger-hirschtrockenwurst-kobasica-od-jelena-iz-zuga-2/,MD-ZUGER_HIRSCHTROCKENWURST_KOBASICA_OD_JELENA_IZ_ZUGA,11,FISH_OR_SEAFOOD,HIGH_PUBLIC_NEEDS_STRUCTURE,6,yes,no,yes,no,,,istra,"kulen; slanina",
3029,"Tiroler Speck – tirolski sušeni dimljeni svinjski but",tiroler-speck-tirolska-slanina-2,publish,https://drycured.com/recepti-baza/tiroler-speck-tirolska-slanina-2/,MD-TIROLER_SPECK_TIROLSKA_SLANINA,7,THERMAL_PROCESSED,HIGH_PUBLIC_NEEDS_STRUCTURE,6,yes,no,yes,no,,,lika,slanina,
3033,"Lukanka iz Panagyurishte – bugarska prešana suha kobasica",lukanka-iz-panagyurishte,publish,https://drycured.com/recepti-baza/lukanka-iz-panagyurishte/,MD-LUKANKA_IZ_PANAGYURISHTE,7,THERMAL_PROCESSED,HIGH_PUBLIC_NEEDS_STRUCTURE,6,yes,no,yes,no,,,lika,kulen,
3047,"Siglino Messinias – grčka dimljena svinjetina",siglino-messinias,publish,https://drycured.com/recepti-baza/siglino-messinias/,MD-SIGLINO_MESSINIAS,7,THERMAL_PROCESSED,HIGH_PUBLIC_NEEDS_STRUCTURE,6,yes,no,yes,no,,,lika,panceta,
3050,"Pancetta Maltija – malteška panceta",maltezanska-panceta-pancetta-maltija-2,publish,https://drycured.com/recepti-baza/maltezanska-panceta-pancetta-maltija-2/,MD-MALTEZANSKA_PANCETA_PANCETTA_MALTIJA,7,THERMAL_PROCESSED,HIGH_PUBLIC_NEEDS_STRUCTURE,6,yes,no,yes,no,,,lika,panceta,
3055,"Salo – ukrajinska slana svinjska slanina",salo-slana-svinjeca-slanina,publish,https://drycured.com/recepti-baza/salo-slana-svinjeca-slanina/,MD-SALO_SLANA_SVINJECA_SLANINA,7,THERMAL_PROCESSED,HIGH_PUBLIC_NEEDS_STRUCTURE,6,yes,no,yes,no,,,lika,slanina,
3058,"Sobrasada Mallorquina – majorška sobrasada",sobrasada-mallorquina-majorska-sobrasada-2,publish,https://drycured.com/recepti-baza/sobrasada-mallorquina-majorska-sobrasada-2/,MD-SOBRASADA_MALLORQUINA_MAJORSKA_SOBRASADA,7,THERMAL_PROCESSED,HIGH_PUBLIC_NEEDS_STRUCTURE,6,yes,no,yes,no,,,lika,slanina,
3066,"Kärntner Wurzelspeck – koruški sušeni dimljeni vrat",karntner-wurzelspeck-koruska-korijenska-slanina-2,publish,https://drycured.com/recepti-baza/karntner-wurzelspeck-koruska-korijenska-slanina-2/,MD-KARNTNER_WURZELSPECK_KORUSKA_KORIJENSKA_SLANINA,7,THERMAL_PROCESSED,HIGH_PUBLIC_NEEDS_STRUCTURE,6,yes,no,yes,no,,,lika,slanina,
3071,"Lard fumé de Flandre – flamanska dimljena slanina",lard-fume-de-flandre-flamansko-dimljeno-salo-2,publish,https://drycured.com/recepti-baza/lard-fume-de-flandre-flamansko-dimljeno-salo-2/,MD-LARD_FUME_DE_FLANDRE_FLAMANSKO_DIMLJENO_SALO,7,THERMAL_PROCESSED,HIGH_PUBLIC_NEEDS_STRUCTURE,6,yes,no,yes,no,,,lika,slanina,
3065,"Mish i thatë – albanska suha janjetina",mish-i-thate-albanska-suha-janjetina-2,publish,https://drycured.com/recepti-baza/mish-i-thate-albanska-suha-janjetina-2/,MD-MISH_I_THATE_ALBANSKA_SUHA_JANJETINA,6,THERMAL_PROCESSED,HIGH_PUBLIC_NEEDS_STRUCTURE,6,yes,no,yes,no,,,"lika; banija",,
3309,"Rovinjska kobasica",hr-is-002-rovinjska-kobasica,publish,https://drycured.com/recepti-baza/hr-is-002-rovinjska-kobasica/,HR-IS-002,63,THERMAL_PROCESSED,PUBLIC_REVIEW,3,yes,yes,yes,no,,"hrvatska; hr-","slavonija; slavonski; slavonska; srijem; istarska; rovinj; rovinjska","slavonska kobasica; domaća kobasica; istarska kobasica; rovinjska kobasica; slanina",
