post_id,meta_key,meta_value
2976,_dry_source,"NEW_HR_V2, linija 823"
2976,_dry_public_ready,yes
2976,_dry_calculator_ready,0
2976,_dry_recipe_sections,"{""identity"":""## 1. Identitet receptan- Kanonski naziv: Slavonska domaća kobasican- Alternativni nazivi: nisu posebno zabilježeni u primarnom izvorun- Država: Hrvatskan- Regija: Slavonijan- Mikroregija: širi prostor Slavonije, Baranje i Srijeman- Tip proizvoda: Kobasican- Kategorija: trajni suhomesnati proizvodn- Status: kanonski recept Batch 01 — finalizirani tekst v0.3n- Izvor primarnog recepta: NEW_HR_V2, linija 823n- Povezani WP zapisi: 2187:HR-SLV-KOB-ZOZP-001n- Napomena o varijantama: varijante se vode kao zasebni recepti samo ako imaju drukčiji sastav, omotač ili tehnološki postupak."",""short_description"":""## 2. Kratki opisnSlavonska domaća kobasica pripada slavonsko-srijemskom krugu suhomesnatih proizvoda. Slavonska domaća kobasica je slavonska trajna kobasica s paprikastim začinskim profilom, oblikovana za hladno dimljenje i postupno sušenje."",""regional_identity"":""## 3. Regionalni identitetnRecept se oslanja na hladnu obradu mesa, odmjereno soljenje, slavonski začinski profil i kontrolirano sušenje ili zrenje. Regionalni identitet treba očuvati, ali tehnološke korake prikazati jasno i provjerljivo."",""batch"":""## 4. Standardna šaržan- Osnovna šarža: 10,00 kg mesne sirovine / osnovne sirovine, osim kod cijelih komada gdje se masa vodi prema komadun- Napomena o preračunavanju: količine iz izvora pretvoriti i prikazati u kg gdje je primjenjivo"",""meat_composition"":""## 5. Mesni sastav i anatomski dijelovin| Dio / sirovina | Količina (kg) | Uloga |n|---|---:|---|n| Svinjska plećka + vrat | 7,00 kg | Mješavina, malo masnoće |n| Tvrda slanina | 3,00 kg | osnovna sirovina |"",""ingredients"":""## 6. Sastojci i začinin| Sastojak | Količina za 10 kg (kg) | Napomena |n|---|---:|---|n| Sol | 0,220–0,250 |  |n| Slatka paprika | 0,120–0,150 |  |n| Ljuta paprika | 0,020–0,050 |  |n| Bijeli luk | 0,030–0,050 | Tekući |n| Crni papar | 0,015–0,020 |  |"",""casings"":""## 7. Crijeva / omotačin- Vrsta i kalibar: svinjska tanka ili ravna crijeva, najčešće 32–42 mm; kada recept navodi drukčiji kalibar, zadržati izvorni kalibarn- Namakanje: 2–12 sati, ovisno o vrsti i stanju omotačan- Tekućina: hladna voda; po potrebi dodati malu količinu octa radi ispiranja mirisan- Prokuhano / hladno: voda za crijeva koristi se hladna i ne dodaje se u nadjev"",""garlic"":""## 8. Češnjakn- Oblik: procijeđena tekućina od češnjakan- Količina češnjaka: 0,030–0,050 (Tekući)n- Tekućina za ekstrakciju: prokuhana i ohlađena vodan- Vrijeme ekstrakcije: 20–30 minutan- Postupak: zgnječiti, preliti ohlađenom vodom, promiješati i procijediti kroz gazun- Napomena: vlakna češnjaka ne dodavati izravno u nadjev"",""tools"":""## 9. Oprema i alatin- Noževi, daska, posude, vaga, mlin za meso, punilica, igla za probadanje, konop/špaga, pušnica, termometar i higrometarn- Mljevenje / rezanje: meso najčešće 6–8 mm; masniji dio sitnije rezati ili mljeti prema tipu kobasice"",""meat_preparation"":""## 10. Priprema mesanSirovinu dobro ohladiti, odstraniti neželjeno vezivo i raditi u čistim uvjetima. Masnije dijelove obrađivati dok su čvrsti i hladni."",""grinding_cutting"":""## 11. Mljevenje / rezanjen- Standard prema tipu proizvoda: meso najčešće 6–8 mm; masniji dio sitnije rezati ili mljeti prema tipu kobasicen- Temperatura sirovine: što bliže 0–4 °C tijekom rada"",""mixing_resting"":""## 12. Miješanje i odležavanjenZačine ravnomjerno rasporediti po mesu i masnoći. Miješati dok se masa ne poveže i ujednačeno oboji. Kod recepata s odležavanjem nadjeva, masu držati pokrivenu na 2–6 °C."",""stuffing_tying"":""## 13. Punjenje i vezanjen- Oblik / duljina: 20–35 cm, ovisno o lokalnom običaju i crijevun- Puniti kompaktno, bez zraka; vidljive mjehuriće odmah probosti čistom iglom"",""predrying"":""## 14. Predsušenje / početna fermentacijan- Trajanje: 1–3 dana prije dimljenja, dok površina ne bude suha na dodirn- Kontrolni znakovi: površina se postupno suši, miris ostaje čist, bez sluzi i bez kiselosti"",""smoking"":""## 15. Dimljenjen- Protokol: hladni dim u više blagih ciklusa, najčešće 3–10 ciklusa, uz pauze između dimljenjan- Dim mora biti hladan i blag; koristiti suho tvrdo drvo"",""drying_aging"":""## 16. Sušenje i zrenjen- Trajanje: 30–90 dana, ovisno o kalibru, masnoći i željenoj suhoćin- Uvjeti: hladan, taman i prozračan prostor, bez naglog isušivanja površine"",""mistakes_solutions"":""## 17. Najčešće greške i rješenjan| Problem | Mogući uzrok | Konkretno rješenje |n|---|---|---|n| Razmazana mast u presjeku | Sirovina je bila pretopla ili je masnoća previše obrađivana | Raditi s ohlađenom sirovinom, masnoću rezati ručno gdje je predviđeno i skratiti miješanje |n| Zračni džepovi | Nedovoljno kompaktno punjenje ili neprobušeni mjehurići zraka | Puniti sporije i čvršće, vidljive mjehuriće odmah probosti čistom iglom |n| Kiseli miris | Previsoka temperatura, nečisto posuđe ili predugo stajanje nadjeva | Odvojiti sumnjiv proizvod; ubuduće držati masu na 2–6 °C i raditi u čistim uvjetima |n| Pretvrda površina, mekana sredina | Prebrzo sušenje, propuh ili preniska vlaga | Smanjiti propuh, stabilizirati vlagu i produljiti ravnomjerno zrenje |n| Prejak dim i gorka aroma | Previše dima, vlažno drvo ili premale pauze između ciklusa | Koristiti suho tvrdo drvo, dimiti kraće i ostaviti dovoljno pauze između ciklusa |"",""serving_storage"":""## 18. Posluživanje i čuvanjen### Zrenje i čuvanjen- Sušena varijanta: 2–4 tjednan- Svježa (nedimljena): potrošiti u 3–5 dana ili zamrznutin- Dimljena: do 6 mjeseci na suhom i hladnomnn---"",""calculator_status"":""## 19. Kalkulator statusn- Spremno za kalkulator: da, uz korištenje srednje vrijednosti raspona i prikaz izvornog raspona korisnikun- Nedostaje: završna kalkulatorska vrijednost za automatski izračun ako se ne koristi raspon"",""traceability"":""## 20. Sljedivost izvoran| Izvor | Linija / ID | Uloga |n|---|---|---|n| NEW_HR_V2 | linija 823 | Primarni izvor recepta |n| HR_BATCH_01_FINAL_GATE_v0.3 | proizvodni plan | Urednički status |n| HR-SL-001 — Slavonski kulen | model v1 | Strukturni model kanonskog recepta |""}"
2976,_dry_recipe_view_status,published_ready27
2976,_dry_recipe_source_audit_status,hold_source_lock_required
2976,_dry_recipe_source_audit_reason,"Privremeno povučeno dok se sastojci i količine ne usklade s izvornim dokumentom."
2976,_dry_recipe_previous_public_status,publish
2976,recipe_id,HR-SL-005
2976,source_lock_recipe_id,HR-SL-005
2976,dry_recipe_code,HR-SL-005
2976,source_lock_sha256,94babf53606b1c32df5b2da25f08d4a94e74d43313a9d66362d6ca4c7ac4dea3
2976,source_lock_json_path,/root/DRYCURED_GITHUB/build/source_locked_json/HR-SL-005.source_locked.json
2976,source_lock_payload_json,"{
  ""schema_version"": ""drycured.source_locked_recipe.v1"",
  ""recipe_id"": ""HR-SL-005"",
  ""title"": ""Slavonska domaća kobasica"",
  ""source_status"": ""locked"",
  ""batch"": {
    ""amount"": 10,
    ""unit"": ""kg"",
    ""basis"": ""source""
  },
  ""metadata"": {
    ""authority_block_heading"": ""## 5. Slavonska domaća kobasica"",
    ""zone"": ""HR-SL"",
    ""recipe_number"": 5,
    ""expected_title"": ""Slavonska domaća kobasica"",
    ""heading_status"": null,
    ""title_aliases"": [
      ""Slavonska domaća kobasica"",
      ""Slavonska domaca kobasica""
    ],
    ""inherited_from"": null,
    ""authority_mode"": ""strict"",
    ""parsed_title"": ""Slavonska domaća kobasica""
  },
  ""materials"": [
    {
      ""name"": ""Svinjska plećka + vrat"",
      ""quantity"": ""7,00 kg"",
      ""source_line"": ""Svinjska plećka + vrat | 7,00 kg | Mješavina, malo masnoće"",
      ""note"": ""Mješavina, malo masnoće""
    },
    {
      ""name"": ""Tvrda slanina"",
      ""quantity"": ""3,00 kg"",
      ""source_line"": ""Tvrda slanina | 3,00 kg | ""
    }
  ],
  ""spices"": [
    {
      ""name"": ""Sol"",
      ""quantity"": ""220–250 g"",
      ""source_line"": ""Sol | 220–250 g | ""
    },
    {
      ""name"": ""Slatka paprika"",
      ""quantity"": ""120–150 g"",
      ""source_line"": ""Slatka paprika | 120–150 g | ""
    },
    {
      ""name"": ""Ljuta paprika"",
      ""quantity"": ""20–50 g"",
      ""source_line"": ""Ljuta paprika | 20–50 g | ""
    },
    {
      ""name"": ""Crni papar"",
      ""quantity"": ""15–20 g"",
      ""source_line"": ""Crni papar | 15–20 g | ""
    }
  ],
  ""liquids"": [
    {
      ""name"": ""Bijeli luk"",
      ""quantity"": ""30–50 g"",
      ""source_line"": ""Bijeli luk | 30–50 g | Tekući"",
      ""note"": ""Tekući""
    }
  ],
  ""casings"": [
    {
      ""name"": ""Svinjska tanka crijeva"",
      ""quantity"": ""po potrebi"",
      ""source_line"": ""Svinjska tanka crijeva | po potrebi | Kalibar 28–32 mm"",
      ""note"": ""Kalibar 28–32 mm"",
      ""cut_size"": ""28–32 mm""
    }
  ],
  ""equipment"": [],
  ""process"": [
    {
      ""title"": ""rezanje / mljevenje"",
      ""duration"": null,
      ""temperature"": null,
      ""humidity"": null,
      ""action"": ""**1. Mljevenje**nSve meso i slanina kroz šajbu 10–12 mm. Domaća kobasica je grublja od kulena."",
      ""critical_control"": ""Sve meso i slanina kroz šajbu 10–12 mm. Domaća kobasica je grublja od kulena."",
      ""source_evidence"": ""**1. Mljevenje**nSve meso i slanina kroz šajbu 10–12 mm. Domaća kobasica je grublja od kulena.""
    },
    {
      ""title"": ""miješanje"",
      ""duration"": ""24–48 h"",
      ""temperature"": null,
      ""humidity"": null,
      ""action"": ""**2. Miješanje i odmor**nMiješati s začinima, odmor 24–48 h na hladnom."",
      ""critical_control"": ""**2. Miješanje i odmor**nMiješati s začinima, odmor 24–48 h na hladnom."",
      ""source_evidence"": ""**2. Miješanje i odmor**nMiješati s začinima, odmor 24–48 h na hladnom.""
    },
    {
      ""title"": ""odmor nadjeva"",
      ""duration"": ""24–48 h"",
      ""temperature"": null,
      ""humidity"": null,
      ""action"": ""**2. Miješanje i odmor**nMiješati s začinima, odmor 24–48 h na hladnom."",
      ""critical_control"": ""**2. Miješanje i odmor**nMiješati s začinima, odmor 24–48 h na hladnom."",
      ""source_evidence"": ""**2. Miješanje i odmor**nMiješati s začinima, odmor 24–48 h na hladnom.""
    },
    {
      ""title"": ""punjenje"",
      ""duration"": null,
      ""temperature"": null,
      ""humidity"": null,
      ""action"": ""**3. Punjenje u svinjska crijeva**nTanka svinjska crijeva, puniti ravnomjerno. Vezati na 20–25 cm. Oblikovati u parove ili nizove."",
      ""critical_control"": ""**3. Punjenje u svinjska crijeva**nTanka svinjska crijeva, puniti ravnomjerno. Vezati na 20–25 cm. Oblikovati u parove ili nizove."",
      ""source_evidence"": ""**3. Punjenje u svinjska crijeva**nTanka svinjska crijeva, puniti ravnomjerno. Vezati na 20–25 cm. Oblikovati u parove ili nizove.""
    },
    {
      ""title"": ""dimljenje"",
      ""duration"": null,
      ""temperature"": null,
      ""humidity"": null,
      ""action"": ""**4. Dimljenje**nKraće dimljenje: 5–10 ciklusa, bukva, hladni dim. Cilj je konzervirani, dimljeni produkt koji se kuha ili peče, ne suhi salamiran."",
      ""critical_control"": ""**4. Dimljenje**nKraće dimljenje: 5–10 ciklusa, bukva, hladni dim. Cilj je konzervirani, dimljeni produkt koji se kuha ili peče, ne suhi salamiran."",
      ""source_evidence"": ""**4. Dimljenje**nKraće dimljenje: 5–10 ciklusa, bukva, hladni dim. Cilj je konzervirani, dimljeni produkt koji se kuha ili peče, ne suhi salamiran.""
    },
    {
      ""title"": ""sušenje / zrenje"",
      ""duration"": ""2–3 tjedna"",
      ""temperature"": null,
      ""humidity"": null,
      ""action"": ""**5. Sušenje**nNije potrebno dugo zrenje — kobasica je gotova za 2–3 tjedna dimljenja i sušenja."",
      ""critical_control"": ""**5. Sušenje**nNije potrebno dugo zrenje — kobasica je gotova za 2–3 tjedna dimljenja i sušenja."",
      ""source_evidence"": ""**5. Sušenje**nNije potrebno dugo zrenje — kobasica je gotova za 2–3 tjedna dimljenja i sušenja.""
    }
  ],
  ""critical_controls"": [],
  ""storage"": [
    ""Nije potrebno dugo zrenje — kobasica je gotova za 2–3 tjedna dimljenja i sušenja."",
    ""### Zrenje i čuvanje""
  ],
  ""source"": {
    ""file"": ""/root/DRYCURED_GITHUB/source_recipes/hr/TOM2_HR_SOURCE_LOCK_MASTER.md"",
    ""sha256"": ""94babf53606b1c32df5b2da25f08d4a94e74d43313a9d66362d6ca4c7ac4dea3"",
    ""extracted_at"": ""2026-05-31T17:00:30.257104+00:00""
  },
  ""audit"": {
    ""status"": ""PASS"",
    ""ingredient_status"": ""PASS"",
    ""process_status"": ""PASS"",
    ""overall_status"": ""PASS"",
    ""warnings"": [],
    ""missing_fields"": [],
    ""ingredient_missing_fields"": [],
    ""process_missing_fields"": [],
    ""process_fail_fields"": [],
    ""process_mapping_errors"": [],
    ""process_contamination_errors"": [],
    ""not_specified_in_source"": [
      ""process.rezanje / mljevenje.duration"",
      ""process.rezanje / mljevenje.temperature"",
      ""process.rezanje / mljevenje.humidity"",
      ""process.miješanje.temperature"",
      ""process.miješanje.humidity"",
      ""process.odmor nadjeva.temperature"",
      ""process.odmor nadjeva.humidity"",
      ""process.punjenje.duration"",
      ""process.punjenje.temperature"",
      ""process.punjenje.humidity"",
      ""process.dimljenje.duration"",
      ""process.dimljenje.temperature"",
      ""process.dimljenje.humidity"",
      ""process.sušenje / zrenje.temperature"",
      ""process.sušenje / zrenje.humidity""
    ],
    ""skipped_table_header_rows"": [
      ""Komponenta | Količina | Napomena""
    ],
    ""moved_to_casings"": [
      ""Svinjska tanka crijeva""
    ],
    ""moved_to_equipment"": [],
    ""reclassified_to_materials"": [
      ""Svinjska plećka + vrat"",
      ""Tvrda slanina""
    ],
    ""reclassified_to_spices"": [
      ""Sol"",
      ""Slatka paprika"",
      ""Ljuta paprika"",
      ""Crni papar""
    ],
    ""reclassified_to_liquids"": [
      ""Bijeli luk""
    ],
    ""reclassified_to_casings"": [
      ""Svinjska tanka crijeva""
    ],
    ""reclassified_to_equipment"": [],
    ""reclassified_to_garlic_or_liquids"": [
      ""Bijeli luk""
    ],
    ""quantity_from_column"": [
      ""Svinjska plećka + vrat | 7,00 kg | Mješavina, malo masnoće"",
      ""Tvrda slanina | 3,00 kg | "",
      ""Sol | 220–250 g | "",
      ""Slatka paprika | 120–150 g | "",
      ""Ljuta paprika | 20–50 g | "",
      ""Bijeli luk | 30–50 g | Tekući"",
      ""Crni papar | 15–20 g | "",
      ""Svinjska tanka crijeva | po potrebi | Kalibar 28–32 mm""
    ],
    ""note_dimensions_detected"": [
      ""Svinjska tanka crijeva:28–32 mm""
    ],
    ""suspicious_quantity_unit"": [],
    ""status_reason"": [
      ""PASS: ingredients parsed with no critical forbidden, missing, or suspicious quantity units""
    ],
    ""empty_quantity_by_group"": {
      ""materials"": [],
      ""spices"": [],
      ""liquids"": [],
      ""casings"": [],
      ""equipment"": []
    },
    ""missing_required_values"": [],
    ""forbidden_old_values_found"": [],
    ""legacy_conflict_block_found_outside_authority"": ""YES"",
    ""inherited_from"": null,
    ""inherited_fields"": [],
    ""override_fields"": []
  }
}
"
2976,source_lock_imported_at,"2026-05-31 18:34:40"
2976,source_lock_import_batch,batch30
2976,source_lock_import_mode,update_existing_private_safe
2976,_dry_verified_process,"{""post_id"":2976,""is_master"":false,""based_on_master"":2972,""product_name"":""Slavonska domaća kobasica"",""regija"":""Slavonija (široko)"",""eu_status"":null,""karakter"":""Kućna, nestrogo regulirana varijanta Slavonske kobasice (ZOI). Tehnološki gotovo identična, ali bez EU certifikacijskih obveza glede porijekla sirovina."",""batch_size_kg"":10,""raw_materials"":{""krto_meso_kg_total"":7.5,""krto_meso_napomena"":""kućna kombinacija, omjeri varijabilni"",""krto_meso_detalji"":[{""dio"":""plećka (rame)"",""kg"":3},{""dio"":""but (gornji dio)"",""kg"":1.5},{""dio"":""vratina"",""kg"":1.5},{""dio"":""obresci od komadanja"",""kg"":1.5}],""slanina_kg_total"":2.5,""slanina_detalji"":[{""dio"":""tvrda leđna slanina"",""kg"":2.5}]},""ingredients"":[{""naziv"":""morska ili kamena sol"",""kolicina_g"":220},{""naziv"":""nitritna sol (0,6 % NaNO₂)"",""kolicina_g"":20},{""naziv"":""slatka paprika"",""kolicina_g_min"":180,""kolicina_g_max"":230,""napomena"":""tradicionalno svaka kuća ima vlastiti omjer""},{""naziv"":""ljuta paprika"",""kolicina_g"":30},{""naziv"":""češnjak"",""kolicina_g_min"":30,""kolicina_g_max"":50},{""naziv"":""crni papar"",""kolicina_g"":12}],""mljevenje"":{""krto_meso_resetka_mm"":6,""slanina_rezanje"":""ručno na kockice 4–6 mm"",""slanina_preduvjet"":""polusmrznuta""},""casing"":{""type"":""svinjska tanka crijeva"",""anatomy"":""Jejunum/ileum"",""diameter_mm"":""32–40"",""length_cm"":""25–35""},""phases_inherit_from"":""Slavonska kobasica ZOI (post_id 2981)"",""phases_override"":[{""order"":7,""name"":""Sušenje i zrenje"",""duration_days_min"":70,""duration_days_optimal"":""70–100"",""napomena"":""kraće od EU regulirane verzije (90–120)""}],""karakter_okusa"":""slično ZOI verziji, varijabilno po obitelji""}"
2976,_dry_verified_process_version,1.1
2976,_dry_verified_process_cluster,01-A_slavonsko_baranjski
2976,_dry_verified_process_master_id,2972
2976,_dry_verified_process_date,2026-06-04
2976,drycured_public_master_version,v1.1_products_only
2976,drycured_product_gate_status,A_PUBLIC_DRYCURED_PRODUCT
2976,_dry_archive_ready,yes
2976,drycured_public_publish_allowed,true
2976,drycured_requires_final_human_check,false
2976,drycured_public_publish_batch,klaster_01A_slavonsko_baranjski_v1.1
2976,drycured_import_display_status,PUBLIC_READY
